sample_no,doc_id,line_id,osmanlica,reference
11,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-002,شعر بیلمدیگم ایچون شعر قاعدهسنه كیرمدی۔ تخطر اولدیغی كبی یازیلمش۔ دردنجی مكتوب ایله اوتوز ایكنجی,şiir bilmediğim için şiir kaidesine girmedi. Tahattur olduğu gibi yazılmış. Dördüncü Mektub ile Otuz İkinci
12,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-006,جبرا المق ویا صاتدرمق ایچون بالذات ویاخود بالواسطه اجبار ایلمك مثللو شیلر وجها من الوجوه جایز اولمیه و اكر بو مثللو ماده ممنوعه و مكروههیه جسارت,cebren almak veya sattırmak için bizzat veyahut bil-vasıta icbâr eylemek misillü şeyler vechen minel-vücûh caiz olmaya ve eğer bu misillü madde-i memnûa ve mekrûhaya cesaret
13,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-011,كیتمسی بو امنیه خیریهیه وسیله مناسبه اتخاذ ایدلمشدر مشارالیهك ذهاب و ایابنده (تحابی فی سبیل الله) وتیرهسنجه حقنده احترامات كامله اجراسیله,gitmesi bu ümniye-i hayriyeye vesîle-i münâsebe ittihâz edilmiştir Müşârunileyhin zehâb ve iyâbında (Tehâbbü fi-sebîlillâh) vetîresince hakkında ihtirâmât-ı kâmile icrasıyla
14,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-012,صورت عسرت كوستریر ایسه ما ملكندن اولمقداری فروخت اولنهرق بعد التحصیل بر دخی خدمات میریهده استخدام اولنمامق اوزره طرد قلنه و اختلاس,sûret-i usret gösterir ise mâ-meleğinden ol miktarı füruht olunarak badet-tahsîl bir dahi hidemât-ı mîrîyede istihdam olunmamak üzere tard kılına ve ihtilâs
15,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-002,شقاوت-پیشه كندو حالنده اولمیوب عشیرت مزبور اشكیاسیندن سوز صاحبی حاج عمر و كورك اوغلی نام,şekavet-pîşe kendü hâlinde olmayub aşîret-i mezbûr eşkiyâsından söz sâhibi Hac Ömer ve Körünoğlu nâm
16,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-004,خاقان جمجاه قاان با انتباه ناصرالدین شاه لا ذالت ابواب موالاته مفتوحة بالاخلاص و سرادقات مصافاته مرفوعة بالاختصاص,Hâkân-ı cem-câh Kaan-ı bâ-intibâh Nâsırüddîn Şah lâ-zâlet ebvâbü müvâlâtihi meftûhaten bil-ihlâs ve sürâdikâti müsâfâtihi merfûaten bil-ihtihâs
17,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-003,ذو الدولت الراسحت والعزة الشامحت مالك ممالك ایران زمین كهف الاسلام والمسلمین جمیل الشیم جلیل الهمم دولت پناه سعادت دستكاه,züd-devletir-râsıhat vel-izzetiş-şâmihat mâlik-i memâlik-i îrân zemîn-i Kehfil-İslâm veI-Müslimîn cemîlüş-şiyem celîlül-himem devlet-penâh saâdet-destgâh
18,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-007,برر برهان نورافشانز وجود صنیعه، هم وحدته، هم قدرته شاهدلرز بز۔,"Birer burhân-ı nurefşânız vücud-u Sânia, Hem vahdete, hem kudrete şahitleriz biz."
19,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-007,بونك ایچون اوستوریهده ایكی بیك غروش قدر صرف ایلمیش اولمسیله دولت عالیه طرفندن دخی برات مذكوره مقابل بر كونه ماصرف الیناجق اولور ایسه بوندن قاچینمهیهجغنی سویلهمش و الت,bunun için Avusturya’da iki bin guruş kadar sarf eylemiş olmasıyla Devlet-i Aliyye tarafından dahi berât-ı mezkûra mukabil bir gûne masârıf alınacak olur ise bundan kaçınmayacağını söylemiş ve âlet-i
20,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-009,و خلقجه بر كونه منفااتی اكلاشیلدیغی و بو یولده مرقومه بر امتیاز براتنك توجیهی تنسیب بویورولدیغی حالده كیفیتك سفارت سنیه طرفنه تحریر و ازباری مطلقا امر و اراده,ve halkça bir gûne menfa‘ati anlaşıldığı ve bu yolda merkuma bir imtiyâz berâtının tevcîhi tensîb buyurulduğu hâlde keyfiyetin Sefâret-i Seniyye tarafına tahrîr ve izbârı mutlaka emr ü irâde-i
21,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-000,یدنجی ماده الت جارحهدن معدود اولمیان شیلر ایله بربرلرینی ضربه جسارت ایدنلرك قباحتلری درجهسنه كوره اون بش كوندن اوج ماهه قدر حپس ایله,Yedinci Madde Âlet-i cârihadan madûd olmayan şeyler ile birbirlerini darba cesaret edenlerin kabahatleri derecesine göre on beş günden üç mâha kadar hapis ile
22,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-014,اوچنجی ماده عموم دیوانی تعبیر اولنان مواقع ماموریته متفرع اولان محللردن عموم دیوانلرینه و انلردن دخی دیوان مالیهیه تقدیم اولنهجق حساباتك,Üçüncü Madde Umum divanı tabir olunan mevâki-i memuriyete müteferri olan mahallerden umum divanlarına ve onlardan dahi Dîvân-ı Mâliyeye takdim olunacak hesabâtın
23,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-003,سوزك برنجی موقفنك اخرندن الینمشدر۔,Söz’ün Birinci Mevkıfı’nın âhirinden alınmıştır.
24,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-008,موجود ایسه عینا دكل ایسه ثمنا صاحب اولنه رد ایتدیرلدكدنصكره اول شخصك خلاف قانون حركته جسارتنه بناء ارباب مناصب و ماموریتدن ایسه خدمتندن,mevcut ise aynen değil ise semenen sâhib-i evveline red ettirildikten sonra ol şahsın hilâf-ı kanun harekete cesaretine binâen erbâb-ı menâsıb ve memuriyetten ise hizmetinden
25,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-005,محروسهده اجرا ایتمك اوزره درعلیهیه عزیمت ایلهمك نیتنده اولدیغنی سفارتخانه سنیهیه كلوب افاده ایله برابر سلطنت سنیه طرفندن دخی ذكر اولونان التی اعمال و فروخت,Mahrûse’de icrâ etmek üzere Der-Aliyye’ye azîmet eylemek niyetinde olduğunu Sefârethâne-i seniyyeye gelip ifâde ile beraber Saltanat-i Seniyye tarafından dahi zikr olunan âleti i‘mâl ve füruht
26,88dc077b-d603-4af0-b3c1-0a6203f74ab2,88dc077b-d603-4af0-b3c1-0a6203f74ab2-002,معلوم والالری بیورلدیغی و لفا ارسال قلنان ژورنالده محرر اولدیغی وجهله طاشجی اصنافندن بعضی عساكر شاهانه ایله منازعه ایدرك اویغونسزلغه,Malûm-ı vâlâları buyurulduğu ve leffen irsâl kılınan jurnalde muharrer olduğu vechle taşcı esnâfından bazı asâkir-i şâhâne ile münâzaa ederek uygunsuzluğa
27,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-020,دردنجی ماده چونكه هر بر مامور مقبوضات و مدفوعاتندن طولایی مجلسجه مسیول و ضررینه ضامن اولهجغی مثللو معیتلرنده استخدام اولنهجق ادملرك,Dördüncü Madde Çünkü her bir memur makbûzât ve medfûâtından dolayı meclisce mesul ve zararına zâmin olacağı misillü maiyetlerinde istihdam olunacak adamların
28,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-026,مجلسنده دعواسی كوریلوب با لمحاكمه جنحهسی ثابت اولور ایسه حقنده بر موجب قانون معامله جذاییه اجرا اولنه,Meclisinde davası görülüp bil-muhakeme cünhası sabit olur ise hakkında ber-mûceb-i kânûn muâmele-i cezâiye icra oluna
29,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-008,شو زمینڭ یوزینی یالدیزلایان  نازنین معجزاتی چون ملك سیراننه،,"Şu zeminin yüzünü yaldızlayan Nazenin mucizâtı çün melek seyranına,"
30,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-001,منمنجی عشیرتی بوی بكییسی اولیب اطنه جوارنده واقع چاقی نام محلده ساكن منمنجی اوغلی علی بك نام,Menemenci aşîreti boybeyisi olub Adana civârında vâki Çaku nâm mahallde sâkin Menemencioğlu Ali Bey nâm
31,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-020,باقی بر صورتده جنتده دخی مشاهده ایدییورلر كبی، بر زمینه، بر جنته باقییورلر۔ یعنی او ایكی عالمه نظارتلری وار، دیمكدر۔,"bâkî bir sûrette cennette dahi müşâhede ediyorlar gibi, bir zemine, bir cennete bakıyorlar. Yani o iki âleme nezâretleri var, demektir."
32,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-015,سكهمز بر، طرهمز بر، ربمزه مسخرز، مسبحز، ذكرایدرز عابدانه، كهكشانك حلقه كبراسنه منسوب برر مجذوبلرز بز۔“,"Sikkemiz bir, turramız bir, Rabbimize musahharız, müsebbihiz, zikrederiz âbidâne, kehkeşânın halka-i kübrâsına mensub birer meczublarız biz."
33,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-006,هپ برابر نطقه كلمش، حق لسانیله دیرلر: بر قادر ذوالجلالڭ حشمت سلطاننه،,"Hep beraber nutka gelmiş, hak lisanıyla derler: Bir Kadîr-i Zülcelâlin haşmet-i sultanına,"
34,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-006,اثنای محاربهده تسهیل مخابرات ایچون اختراع اولونمش اولان تلغراف خطنه داعر روسیه و اوستوریه و فرانسه و انكلتره دولتلری نزدنده اتشهمیلترلك ماموریتلرنده بولونان اركان حربیه ضابطانندن اولان استیضاحات اوزرینه الینان تحریراتلر,Esnâ-yı muhârebede teshîl-i muhâberât için ihtirâ‘ olunmuş olan telgraf hattına dâ’ir Rusya ve Avusturya ve Fransa ve İngiltere devletleri nezdinde ateşemiliterlik me’mûriyetlerinde bulunan Erkân-ı Harbiye zâbitânından olan istîzâhât üzerine alınan tahrîrâtlar
35,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-000,ایران شاهنه نامه  همایون,Iran Şahına nâme-i hümâyûn
36,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-021,مضمون شریفی لازم كلنلره,mazmûn-ı şerîfi lazım gelenlere
37,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-008,طرفندن باتذكره افاده اولونمسیله كیفیت مجلس والاده,tarafından bâ-tezkire ifâde olunmasıyla keyfiyet Meclis-i Vâlâ’da
38,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-005,دیڭله ده ییلدیزلری، شو خطبه شیریننی، نامه نورینی حكمت باق نه تقریر ایلمیش۔,"Dinle de yıldızları, şu hutbe-i şirinini, Nâme-i nurîn-i hikmet bak ne takrir eylemiş."
39,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-014,اولاجغی افادهسندن عبارت بولونمش اولمقدن ناشی كیفیت دار شورای عسكریهیه لدالحواله اكرچی مذكور تلغرافلرك دركار اولان لزوم و محسناتنه نظرا بر ان اول بو اصوله اشنا مامور یتیشدیریلمسی درجه اهمیتده اولارق,olacağı ifâdesinden ibâret bulunmuş olmaktan nâşî keyfiyet Dâr-ı Şûrâ-yı Askeriyeye lede’l-havâle egerçi mezkûr telgrafların derkâr olan lüzûm ve muhassenâtına nazaran bir an evvel bu usûle âşinâ me’mûr yetiştirilmesi derece-i ehemmiyette olarak
40,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-002,اسطرلاب علمنده اولان صفیحه نام كتابك شرحنه موفق اولدیغی و بغداد كبی مسافه باعدهدن بو طرفه كلدیكی جهتله پدری,usturlab ilminde olan Safiha nâm kitâbın şerhine muvaffak olduğu ve Bağdad gibi mesâfe-i ba‘îdeden bu tarafa geldiği cihetle pederi
41,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-020,امر منیفنه  امتثال و,emr-i münîfine imtisâl ve
42,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-001,بردن خطور ایتدی۔ ییلدیزلرڭ لسان حال ایله قونوشمهلرینی خیالا ایشیتدم گبی بو یازیلدی۔ نظم و,birden hutûr etti. Yıldızların lisân-ı hâl ile konuşmalarını hayâlen işittim gibi bu yazıldı. Nazım ve
43,88dc077b-d603-4af0-b3c1-0a6203f74ab2,88dc077b-d603-4af0-b3c1-0a6203f74ab2-004,لازمهدن اولمغله اولوجهله اجرای اقتضالری خصوصنه همم بهیهلری دركار بیورلمق بابنده اراده افندمكدر ١٦ ل سنه ٢٦٤,lâzımeden olmağla ol vechle icrây-ı iktizâları husûsuna himem-i behiyyeleri derkâr buyurulmak bâbında irâde efendimindir 16 Lam sene 264
44,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-012,بر قادر ذوالكمالك، بر حاكم ذوالجلالك برر معجزه قدرت، برر خارقه صنعت خلیقهنه، برر نادره حكمت، برر,"Bir Kadîr-i Zülkemâl’in, bir Hakîm-i Zülcelâl’in birer mucize-i kudret, birer hârika-i san‘at-ı Hâlikâne, birer nâdire-i hikmet, birer"
45,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-009,بو سمانك عرضه باقان، جنته دقت ایدن بیڭلر مدقق كوزلرز بز۔ [حاشیه],"Bu semânın arza bakan, Cennete dikkat eden Binler müdakkik gözleriz biz. [Haşiye]"
46,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-019,دولتلو افندیم حضرتلری,Devletlü efendim hazretleri
47,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-012,موضوع بحث اولان مدعای اخلاص و اختصاصه بر دلیل جدید كوسترلمشدر و بو كره اولجانب حقایق جالبه عودتنده بك دخی,mevzû-ı bahs olan müddeâ-yı ihlâs ve ihtisâsa bir delîl-i cedîd gösterilmişdir Ve bu kere ol cânib-i hakâyık-ı câlibe avdetinde bey dahi
48,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-016,صورتده فرانسه و اوستوریه دولتلری تلغراف بولوكلرینه بالادخال تلغراف اصولنك اوكرتیلمسی قابل اولوب اولمایاجغنك بیلینمسی لاظیمدن اولدیغندن بعده ایجابی افاده اولونمق اوزره بو صورتله كوندریلهجك,sûrette Fransa ve Avusturya Devletleri telgraf bölüklerine bi’l-idhâl telgraf usûlünün öğretilmesi kabil olup olmayacağının bilinmesi lâzimeden olduğundan ba‘dehu îcâbı ifâde olunmak üzere bu sûretle gönderilecek
49,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-015,مضبطه مذكوره مندراجتی پك یولونده و بجا كورونمش ایسه ده اول امرده اول صورتله كرك پاریسده بولونان طلبهدن تعین قیلیندیغی و كرك بوراجه مكتبدن مخرج مقتدر ضابطاندن برقاچ نفری مخصوصان كوندریلدیكی,mazbata-i mezkûre münderecâtı pek yolunda ve becâ görünmüş ise de evvel emirde ol sûretle gerek Paris’te bulunan talebeden ta‘yîn kılındığı ve gerek buraca mektebden muhrec muktedir zâbitândan birkaç neferi mahsûsan gönderildiği
50,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-014,اولونمسی خصوصنك صوب صاملرینه بیلدیریلمسی تذكر اولونمش اولمغله اول وجهله اقتضاسنك اجراسنه,olunması husûsunun savb-ı sâmîlerine bildirilmesi tezekkür olunmuş olmağla ol vecihle iktizâsının icrâsına
51,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-004,نظارت جلیلۀ خارجیه,Nezâret-i Celîle-i Hâriciye
52,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-005,و خیم عمره و اقباله مویدة و دعایم غره و اجلاله مشیدة باتوفیقات السبحانیه والتاییدات الصمدانیه حضور قاانیلرینه (والقیت علیك,ve hıyamü ömrihi ve ikbâlihi müeyyedeten ve deâimü izzihi ve iclâlihi müşeyyedeten bit-tevfîkâtis-Sübhâniye vet-teyîdâtis-Samedâniye huzûr-ı Kaanilerine (vel-kaytü aleyke
53,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-006,داعیهسیله تظلم و استرحام ایلهدكلرنده مالوف اولدقلری شكوتلرك مزداد ایله یوز باب خانهلی بر قریه,dâ‘iyyesiyle tazallum ve istirhâm eylediklerinde melûf oldukları şekvetlerin müzdâd ile yüz bâb hâneli bir karye
54,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-005,طرفلرندن كمسنهنك مال و املاكنه وضع ید اولنمیه و بیوك و كوچك بر كمسنه دیكر بریسنك مال و املاكنه بغیر حق تعرض و تسلط و مداخله ایتمك ویاخود,taraflarından kimsenin mal ve emlâkine vaz-ı yed olunmaya ve büyük ve küçük bir kimse diğer birisinin mal ve emlâkine bi-gayr-i hakkın taarruz ve tasallut ve müdahale etmek veyahut
55,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-016,اخبار صحت و سلامت كیانیلری ایله بو طرفی دخی حصه مند مسار ایتمك اوزره همان عودتنه رخصت ویرلمسی مرجو و متمنادر,ihbâr-ı sıhhat ve selâmet-kiyânîleri ile bu tarafı dahi hisse-mend-i mesâr etmek üzere heman avdetine ruhsat verilmesi mercû ve mütemennâdır
56,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-011,شو سماوات اهلنه برر مسجد سیار، برر خانه دوار، برر علوی اشیانه، برر مصباح نوار، برر كمی جبار، برر طیارهلرز بز۔,"Şu semâvât ehline birer mescid-i seyyâr, birer hâne-i devvâr, birer ulvî âşiyâne, birer misbâh-ı nevvâr, birer gemi-i Cebbâr, birer tayyâreleriz biz."
57,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-010,اساس اتحاد ایچون وسیله تحریسندن خالی اولمدیغم حالده عمزاده قاانیلری سعادت نصاب فخامت انتساب ایفای فریضه حج ایچون بو طرفلره كلوب,esâs-ı ittihâd için vesîle-i taharrisinden hâlî olmadığım halde ammizâde-i Kaanileri saâdet-nisâb-ı fehâmet-intisâb îfâ-yı farîza-ı hac için bu taraflara gelip
58,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-017,[حاشیه] یعنی جنت چیچكلرینك فیدانلق و مزرعهجغی اولان زمینك یوزنده حدسز معجزات قدرت تشهیر,[Hâşiye] Yani cennet çiçeklerinin fidanlık ve mezraacığı olan zeminin yüzünde hadsiz mu‘cizât-ı kudret teşhîr
59,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-008,مذكورهدن برینه قرار ویریلهرك نتیجه قرارك بیلدیریلمسی حقنده مكاتب عسكریه نظارت بهیهسیله جریان ایدن مخابره اوزرینه یازیلان جوابده بو بابده جریان ایدن مذاكراتی متضمن مجلس مذكوردن تنظیم اولونان مذكرهنك ارسال قیلیندیغی,mezkûreden birine karar verilerek netîce-i kararın bildirilmesi hakkında Mekâtib-i Askeriye Nezâret-i behiyyesiyle cereyân eden muhâbere üzerine yazılan cevâbda bu bâbda cereyân eden müzâkerâtı mutazammın meclis-i mezkûrdan tanzîm olunan müzekkerenin irsâl kılındığı
60,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-017,ضابطانك مذكور بولوكلره قبول ایتدیریلمهسی ممكن اولوب اولامهیهجغنك پاریس و ویانه سفارت سنیهلرندن استعلامی خصوصنك حضور معالیموفور جناب صدارتپناهیلرینه عرض و اشعاری حربیه داعیرهسندن,zâbitânın mezkûr bölüklere kabûl ettirilmesi mümkün olup olamayacağının Paris ve Viyana sefâret-i seniyyelerinden isti‘lâmı husûsunun huzûr-ı me‘âlî-mevfûr-ı cenâb-ı sadâret-penâhîlerine arz ve iş‘ârı Harbiye Dâ’iresinden
61,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-004,اولدیغی حسبیله تجربه اولوندكدن صوكره الت مذكورهیی یاپوب صاتمق اوزره اوستوریه و پروسیه و ایسوچ دولتلرنده مرقوم امریقهلیه امتیاز براتی ویریلمش و صنعتنی ممالك,olduğu hasebiyle tecrübe olunduktan sonra âlet-i mezkûreyi yapıp satmak üzere Avusturya ve Prusya ve İsveç devletlerinde merkum Amerikalıya imtiyâz berâtı verilmiş ve san‘atını Memâlik-i
62,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-008,جامعه اسلامیه و فحوای (المومنونه اخوه) اقتضاسنجه بین الدولتین العلیتین یك جهتی و اتحادك استقراری و بین الحضرتین الفخمتین دركار,câmia-i İslâmiye ve fehvâ-yı (Elmûminûne ıhvetün) iktizâsınca beyned-devleteynil-aliyeteyn yek ciheti ve ittihadın istikrarı ve beyneI-hazreteynil-fahimeteyn derkâr
63,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-017,مامور اولان ذات دخی بو قضیهیه واقف اولدقدنصكره اغماض ایتمش اولدیغی تحقق ایدر ایسه عزل و طرد ایله تادیب اولنه و بر مامور كندوسنه امانت و تسلیم,memur olan zât dahi bu kaziyeye vâkıf oldukdan sonra iğmâz etmiş olduğu tahakkuk eder ise azl ve tard ile tedib oluna ve bir memur kendisine emanet ve teslim
64,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-000,بر وقت، بارلهده، چام طاغالده، یوكسك بر موقعده، گیجهده ثمانڭ یوزینه باقدم۔ گلهجك فقرهلر,"Bir vakit, Barla’da, Çam Dağı’nda, yüksek bir mevkide, gecede semânın yüzüne baktım. Gelecek fıkralar"
