osmanlica,transkripsiyon
آغريجان,Ağrıcan
آغريدوس,Ağrıdos
آغستوس,Ağustos
آغلاسون طاغلرى,Ağlasun Dağları
آغوانس,Ağvanis
آغوه,Ağva
آغين,Ağın
آفرقيه مع مطر,Afrikıye maa Matar
آفرين,Afrin
آفشار,Afşar
آفلانئ طاطاى,Eflani-i Daday
آفيون قره حصارى,Afyonkarahisarı
آق آباد,Akabad
آق اوره ن,Akören
آق بابا,Akbaba
آق بلنقه,Akpalanka
آق جيجه لى,Akciceli
آق حصار,Akhisar
آق حصار صاروخان,Akhisar-ı Saruhan
آق دره,Akdere
آق شهر,Akşehir
آق شهراباد مع يقه جق,Akşehirabad maa Yakacık
آق صو,Aksu
آق قيا,Akkaya
آق قيا مع چكلى,Akkaya maa Çanlı
آق كول,Akgöl
آق كوى,Akköy
آق كوى و پازار صويى,Akköy ve Pazarsuyu
آق كيسى,Akkisi
آق كپرى,Akköprü
آق كپرى مع قورى همايون,Akköprü maa Koru-yı Hümayun
آق لوم,Aklom
آق ويران,Akviran
آق يازى مع خندق,Akyazı maa Hendek
آق يورك,Akyörük
آق پيكار,Akpınar
آق چاى,Akçay
آق چاى مع ترمه,Akçay maa Terme
آقبيكار,Akpınar
آقجه قيونلو,Akçakoyunlu
آقحصار,Akhisar
آقرا,Akra
آقسراى,Aksaray
آقسكى,Akseki
آقسنى,Aksini
آقشهر,Akşehir
آقشهر مع طوغانحصار,Akşehir maa Doğanhisar
آقمسجد,Akmescid
آقوه,Akova
آقوه مع بهور,Akova maa Bihor
آقيازى,Akyazı
آقيز,Akız
آقينجيلر,Akıncılar
آقچان,Akçan
آقچه آباد,Akçaabad
آقچه اباد مع يمهوره,Akçaabad maa Yemhura
آقچه حصار,Akçahisar
آقچه شهر,Akçaşehir
آقچه شهر آيدين,Akçaşehir-i Aydın
آقچه شهرآيدين,Akçaşehir-i Aydın
آقچه شهرايدين,Akçaşehir-i Aydın
آقچه طاغ,Akçadağ
آقچه قويونلى,Akçakoyunlu
آكينارا,Akinara
آلا شهر,Alaşehir
آلا طاغ,Aladağ
آلا كليسا,Alakilise
آلا كوز,Alagöz
آلا چام مع حصارجق,Alaçam maa Hisarcık
آلاتو,Alato
آلاجه,Alaca
آلاجه حصار,Alacahisar
آلاجه خان,Alacahan
آلاجه لى,Alacalı
آلاشهر,Alaşehir
آلاشهراينه كول,Alaşehir İnegöl
آلاصونيه,Alasonya
آلافونيزى,Alafonizi
آلان,Alan
آلان و سراوِ ميرآباد,Alan ve Serav-ı Mirabad
آلاپلى مع صماقو,Alaplı maa Samakov
آلاچام,Alaçam
آلباق,Albak
آلتون اوزى,Altınözü
آلتون ايلى,Altınili
آلتون طاش,Altıntaş
آلتون كوپرى و مَلْحه,Altınköprü ve Melha
آلطونطاش,Altıntaş
آلقسنچه مع اسفرلك,Aleksinçe maa İsferlik
آلقوش,Alkuş
آلماش,Almaş
آلموس,Almus
آلموص,Almus
آلوجره,Alucra
آليان,Alyan
آليقور,Alikor
آمارى,Amari
آماصره,Amasra
آماصرى,Amasra
آمبلوزو,Ambelozo
آمناتو,Amnato
آمورا,Amura
آمورغوس,Amorgos
آموطقه,Amutka
آنا پوديارى,Anapodyari
آنافى,Anafi
آنامور,Anamur
آنانس,Ananis
آناپوليس,Anapolis
آنبلاكى,Anbelaki
آنتعفوس,Antufus
آنتورا,Antura
آنتى تيلو,Antitilo
آنتيل اطه لرى,Antil Adaları
آندره آص,Andreas
آندريا,Andreya
آندرين,Andırın
آنزغير,Anzağır
آنس,Anis
آنطاقيه,Antakya
آنطاكيه,Antakya
آنطاليه,Antalya
آنغسترى,Angistri
آنقره,Ankara
آنكه لو,Angelo
آنويا,Anoya
آوا نوس,Avanos
آوانوس,Avanos
آوروپاى عثمانى,Avrupa-yı Osmani
آوغو,Avgo
آوغون,Avgon
آولاغى,Avlağı
آولونيه,Avlonya
آولونيه مع طوپ آلتى,Avlonya maa Topaltı
آونيك,Avnik
آوه نوس,Avanos
آوياواتو,Avyavato
آوْرَشه,Evreşe
آي باصدى,Aybasdı
آي مريم اطه لرى,Ayimeryem Adaları
آيا كرياكى,Ayakiryaki
آياثلوغ,Ayasluğ
آيازمند,Ayazmend
آياستفانوس,Ayastefanos
آياش,Ayaş
آياش مع برندى,Ayas (Ayaş) maa Berendi
آياصو,Ayasu
آياطوما,Ayatoma
آياكوركيوس,Ayagorgiyos
آياماوره,Ayamavra
آياموره,Ayamavra
آيان دون,Ayandon
آياندون,Ayandon
آيايوان,Ayayovan
آيايونيس,Ayayonis
آياپترا,Ayapetra
آيبصدى,Aybasdı
آيدنجق,Aydıncık
آيدوس بالقانى,Aydos Balkanı
آيدين,Aydın
آيدين ايلى,Aydınili
آينه روز,Aynaroz
آيو نيقولا,Ayonikola
آيواجق,Ayvacık
آيواسيل,Ayovasil
آيوالق مع كافر آغيلى,Ayvalık maa Kafirağılı
آيوس جوانيس,Ayoscovanis
آيى مريم,Ayimeryem
آيى وارواره,Ayivarvara
آيى يوركى,Ayiyorgi
آيى يوركى اطه لرى,Ayiyorgi Adaları
آيى پراسكى,Ayiparaski
آيي پراسكي,Ayiparaski
آپتره,Aptera
آپقرون,Apokoron
آپودولو,Apodolu
آپوستولى,Apostoli
آچيپوپولو,Açipopolo
آیدین,Aydın
أجه آباد,Eceabad
أشن,Eşen
أكيل,Eğil
أنس,Enes
ئه ده,Ede
ئه له ئوس,Eleos
ئوليا,Uliya
اب صافى,Ab-ı Safi
اب صافي,Ab-ı Safi
اب پاره,Abpare
ابا الابياض,Eba el-Ebyaz
اباد,Abad
ابادان,Abadan
ابازا,Abaza
ابازه,Abaza
ابانه,Abana
ابدانان,Abdanan
ابر,Eber
ابرائل,İbrail
ابرائيل,İbrail
ابرادى,İbradı
ابرادي,İbradı
ابراله,İbrala
ابراهيميه,İbrahimiye
ابره,İbre
ابرومان,Ebruman
ابرى,Abrı
ابريق تپه,İbriktepe
ابريم,İbrim
ابرينك,Abrink
ابسلى,İpsili
ابش,Ebeş
ابصافى,Ab-ı Safi
ابصاله,İpsala
ابصله,İpsala
ابغاى,Abagay
ابنه,Abana
ابهر,Ebher
ابو القلوع,Ebulkalu
ابو جِرْجَه مع بَهْنَسا,Ebucirce maa Behnesa
ابو جِرْجَه مع بَهْنَسَا,Ebucirce maa Behnesa
ابو ردوع,Eburadu
ابو روبا,Eburuba
ابو سعفه,Ebusafe
ابو شجر,Ebuşecer
ابو شوق قيالرى,Ebuşevke (Ebuşevk) Kayaları
ابو شوقر,Ebuşukar
ابو شوكه,Ebuşevke
ابو صحين,Ebusahin
ابو عريش,Ebuariş
ابو عَرِيش,Ebuariş
ابو غربه,Ebugarbe
ابو قلقل,Ebukalkal
ابو كبير,Ebukebir
ابو كمال,Ebukemal
ابو كَلْتِك,Ebukeltik
ابو لاد,Ebulad
ابو لعد,Ebulad
ابو مردفه,Ebumirdefe
ابو مطاره,Ebumutara
ابو موتارا,Ebumutara
ابو مورينا,Ebumurina
ابوالحصيب,Ebulhasib
ابوالخصيب,Ebulhasib
ابوالخير,Ebulhayr
ابوط,Obot
ابى الححا,Ebilhaha
اتابك,Atabey
اتاق,Atak
اتاقا,Atak
اتاقى,İtaki
اتالانتى,Atalanti
اتاليا,İtalya
اتجه,Atça
اتره (؟),Etre (?)
اتنه,Atina
اتوغوشته,Onogoşta (Otogoşta)
اتوقو,Atoko
اتيكان,Atikan
اجاجى,Acacı
اجاره,Acara
اجارۀ سفلا,Acara-i Süfla
اجارۀ سفلى,Acara-i Süfla
اجره,Acara
اجرى,Acari
اجرۀ سفلا,Acara-i Süfla
اجرۀ سفلى,Acara-i Süfla
اجق باش,Açıkbaş
اجمده,Ecmede
اجنان كارحانه,Acnan-ı Karhane
اجه آباد,Eceabad
اجه اباد,Eceabad
اجه اباد و مايدوس,Eceabad ve Maydos
احتما,İhtima
احتمان,İhtiman
احتمه,İhtima
احته جئ سفلا,Ahtacı-i Süfla
احته جئ عليا,Ahtacı-i Ulya
احتى,Ahti
احتيار,İhtiyar
احجرك,Ahçirik
احد,Ehad
احدلر,Ahadlar
احدلر كبير,Ahadlar-ı Kebir
احسا,Ahsa
احلاط,Ahlat
احلطبا,Ahaltaba
احلكلك,Ahilkelek
احمد بك,Ahmedbey
احينوز,Ahinoz
احيولى,Ahyolu
احچرك,Ahçirik
اخا,Aha
اخبصور,Ahbisor
اخترين,Ahterin
اخته جى,Ahtacı
اخته پولى,Ahtapolu
اختى,Ahti
اختيار,İhtiyar
اخرى,Ohri
اخست آباد,Ahıstabad
اخست اباد,Ahıstabad
اخسقه,Ahıska
اخصتباد,Ahıstabad
اخطار مع قره كليسا,Ahtar maa Karakilise
اخلاط,Ahlat
اخلاط و چقور,Ahlat ve Çukur
اخلكلك,Ahilkelek
اخنجى,Ahıncı
اخى جلبى,Ahiçelebi
اخى چلبى,Ahiçelebi
اداليه,Adalya
ادامانلو عشيرتى,Adamanlı Aşireti
ادانه,Adana
ادرميد,Edremid
ادرنه,Edirne
ادرنه مع جسر مصطفى پاشا,Edirne maa Cisr-i Mustafapaşa
ادرنه مع قرق كليسا,Edirne maa Kırkkilise
ادرنه مع نواحى,Edirne maa Nevahi
ادره ميد,Edremid
ادلفيا,Adelfiya
ادليب الصغرى مع معرّة المصرين,İdlib (İdlibüssuğra) maa Maarratülmısrin
ادنه,Adana
ادنَه,Adana
اده,Ada
اديحون,Adıhun
اديرناس,Adirnas
اذينه,Ezine
اذينه بازارى,Ezinepazarı
اذينه پازارى,Ezinepazarı
ار طوشيان,Ertuşiyan Aşireti
ارآنئ شمكور,Arani-i Şemkür
ارآنئ نهر حسن,Arani-i Nehr-i Hasan
ارآنيء انجه,Arani-i İnce
ارآنيء ديزآق,Arani-i Dizak
اراد,Arad
ارالق و اجوزى و بوزلان و قراقورقان وغره (؟),Aralık ve Acuzi ve Bozlan (?) ve Karakurkan ve Gara (?)
اراليجق,Aralıcak
اراليق,Aralık
ارامل,Eramil
ارانئ كنجه,Arani-i Gence
ارانيء زكم,Arani-i Zegem
اراوانص,Aravans
ارباز,Arpaz
ارباط,Arabat
اربد,İrbid
اربد و عجلون,İrbid ve Aclun
اربعه,Erbaa
اربل,Erbil
اربل مع تلعفر,Erbil maa Telafer
اربيد,İrbid
اربيل,Erbil
اربيل سلطانيه,Erbil Sultaniye
ارتق آباد,Artukabad
ارتق اباد,Artukabad
ارتق اباد و مشهد اباد مع سلس ازوى,Artukabad ve Meşhedabad maa Silisözü
ارتوشى,Artuşi
ارتوق آباد,Artukabad
ارتوق اباد,Artukabad
ارج,Erec
ارجار,Arçar
ارجه,Arca
ارجيش حيدرانلى عشيرتى,Erciş Haydaranlı Aşireti
ارحانكلوس,Arhangelos
ارحب,Erhab
ارحمى,Erhami
ارحوس,Arhos
ارحوى,Arhavi
ارخاوى,Arhavi
ارخوس,Arhos
ارخوه مع ويجه,Arhavi (Arhova) maa Viçe
ارخوه مع ويچه,Arhavi (Arhova) maa Viçe
ارخوى,Arhavi
ارداسه,Ardasa
اردان,Ardan
اردك,Erdek
اردك مع قپو طاغى,Erdek maa Kapudağı
اردك و قپو طاغى,Erdek ve Kapudağı
اردل,Erdel
اردل ولايتي,Erdel Vilayeti
اردلان,Erdelan
اردنوج,Ardanuç
اردنوچ,Ardanuç
ارده شن,Ardeşen
اردهان كوچك,Ardahan-ı Küçük
اردو,Ordu
اردو مع بيراملو و بولانجق,Ordu maa Bayramlı ve Akköy (Bulancak)
اردواولو بك,Ordu Ulubey
اردود,Erdud
اردوس,Ardos
اردوى بيراملو,Ordu-yı Bayramlı
ارزن,Erzen
ارزنجان,Erzincan
ارزنجان مع قورى چاى وكرجانس,Erzincan maa Kuruçay ve Gercanis
ارزنجان مع قوزاى ارزنجان,Erzincan maa Kuzeyerzincan
ارزنه,Erzine
ارزينه,Erzine
ارسبآر,Arasbar
ارسبار,Arasbar
ارسك,Ersek
ارسلان اپا,Arslanapa
ارسوز,Arsuz
ارش,Ereş
ارشوشين,Erşuşin
ارشوه,İrşova
ارض روم,Erzurum
ارض روم و بايبورد و كماخ,Erzurum ve Bayburd ve Kemah
ارضروم,Erzurum
ارطاش,Ertaş
ارغلاستى,Argalasti
ارغن,Argın
ارغنى مع حساران,Ergani maa Hasaran
ارغنى مع قواجيلر سرملى حضران,"Ergani maa Kovacılar Sürmeli, Hasaran (Hazaran)"
ارغنى مع كبان معدنى,Ergani maa Kebanmadeni
ارغنى مع ناحيۀ خساران,Ergani maa Nahiye-i Hasaran
ارغنى مع نواحى و حضران,Ergani maa Nevahi ve Hasaran (Hazaran)
ارغنى معدنى,Erganimadeni
ارغو,Argo
ارغوان,Arguvan
ارغوست,Argust
ارغوما,Argoma
ارغين,Argın
ارقاكى,Arkaki
ارقر,Hufra (Arkar (?))
ارقليه,Irakliya
ارقودى,Arkudi
ارقى,Arki
اركرى قصرى,Argirikasrı
اركلئ آق دكز,Ereğli-i Akdeniz
اركلئ قره مان مع دربند بكدك و چيان,Konya Ereğli (Ereğli-i Karaman) maa Derbend-i Bekdik ve Çayan
اركلت,Erkilet
اركلى و اندوى و نيكده,Konya Ereğli (Ereğli) ve Anduğu ve Niğde
اركلي,Erikli
اركنس,Erkinis
اركنك,Erkenek
اركنيس,Erkinis
اركوب,Ürgüb
اركوپ,Ürgüp
اركى,Arki
اركى طاقم اطه لرى,Arki Takımadaları
اركيروپولي,Argiropoli
اركيرى قصرى,Argirikasrı
ارله,İrle
ارله مع ياويجه,İrle maa Yavice
ارم و اوكسه و ايواجق,Arım ve Ökse ve Ayvacık
ارماتيا,Armatiya
ارمتيا,Armatiya
ارمناز,Armanaz
ارمناك مع نواحى,Ermenek maa Nevahi
ارمنيه,Ermeniye
ارمود ايلى,Armudili
ارمودان,Armudan
ارمودايلى,Armudili
ارمودلو,Armudlu
ارمودلى,Armudlu
ارميه,Armiye
ارميه مع فوقوس,Armiye maa Kokoş (Kokos)
ارميه مع قوقوس,Armiye maa Kokoş (Kokos)
ارميه مع قوقوش,Armiye maa Kokoş
ارن كوى,Erenköy
ارناودلق,Arnavudluk
ارنكوى,Erenköy
ارنكوي,Erenköy
ارنود ايلى,Arnavudili
ارنودان,Arnavudan
ارنيج,Erniç
اره ليجق,Aralıcak
اره ليق,Aralık
ارواد,Arvad
اروالو و كوبيان,Arvalı ve Kübyan
اروانص,Aravans
اروانق,Arvanak
اروته,Ruta (Erruta (?))
ارود,Arud
اروش,Uruş
اروه,Eruh
اريحا,Eriha
اريحه,Eriha
اريحه / اريحا,Eriha
اريدوس,Aridos
اريسترى,Aristiri
اريقلى,Arıklı
اريك,İrig
اريم,Arım
اريم كرچلو,Arım-ı Kireçli
اريم يراشلو,Arım-ı Yaraşlı
ارپاز,Arpaz
ارپالي,Arpalı
ارپه لو,Arpalı
ارچك,Erçek
ارچل,Erçel
ارگرى قصرى,Argirikasrı
ارگلئ قرمان مع بايبورد,Konya Ereğli (Ereğli-i Karaman) maa Bayburd
ارگلى,Ereğli
ازآق,Azak
ازاد جيران,Azadciran
ازاق,Azak
ازبدر,Ezbider
ازبيدر,Ezbider
ازدين,İzdin
ازرع,Ezra
ازطواى,Azdavay
ازطوى,Azdavay
ازغار,Izgar
ازغور,Azgur
ازلادى,İzladi
ازلرقه,İzlarika
ازمياني,İzmiyani
ازميد مع نواحئ اَيْواجق و باغچه جك و يگى كوى,İzmid maa nevahi-i Ayvacık ve Bağçecik ve Yeniköy
ازمير مع نواحى,İzmir maa Nevahi
ازميرنيك,İzmirnik
ازميرنيك قره طاغى,İzmirnik Karadağı
ازنارد,Eznard
ازنافير,Aznafir
ازناور,Aznavur
ازنه بازارى,Ezinepazarı
ازنيق و كورله,İznik ve Gürle
ازنيچه مع تراونيك,İzeniçe maa Travnik
ازنپول,İznepol
ازون صقال,Uzunsakal
ازونى غراد,İzvenigrad
ازوچان,İzveçan
ازوچاى,İzveçay
ازوچن,İzveçan
ازى و اقكرمان,Özi ve Akkirman
ازينه,Ezine
ازينه بازارى,Ezinepazarı
ازينه پازارى,Ezinepazarı
اسابعِ كربه,Esabi-i Kerbe
اساقجى,İsakcı
اسبارته,Isparta
اسبالاتونيس,İspalatonis
اسبر,İspir
اسبرونيسيا,Aspronisya
استا نمقه,İstanimaka
استا نيمقه,İstanimaka
استاتيه,Ostatye
استار افلاق,İstar Eflak
استار برود,İstaribrod
استاره سله,İstarasile
استاره سله مع يانوه,İstarasile maa Yanova
استاره سيله,İstarasile
استاره شناوه,İstaraşinava
استارى غراد,İstarigrad
استارى معدن,İstarimaden
استاري غراد,İstarigrad
استاريه,İstarya
استارچسته,İstarçiste
استاكيدا,Astakida
استاكيده,Astakida
استاماتى,İstamati
استانبول,İstanbul
استانبول كوى,İstanbulköy
استانديه,İstandiya
استاندييا,İstandiya
استانكوى,İstanköy
استانكوى سنجاغى,İstanköysancağı
استانكوي,İstanköy
استانمقه,İstanimaka
استانوز و عشيرت مورطنه و كنيز و صارى كچيلو و ابدالان و تحته جيلو و مسكون انطاليه,İstanoz ve Aşiret-i Murtana ve Keniz ve Sarıkeçili ve Abdalan ve Tahtacılı ve Meskun-ı Antalya
استانوس,İstanos
استاورو,İstavro
استاورو منوس,İstavromenos
استاپوديا,İstapodya
استراجه,İstraca
استرانجه,Istranca
استراژمان,İstrajoman
استراژومان,İstrajoman
استرزوب,Ustrozob
استرشيجه,Ostroşiçe
استرغون,Estergon
استرمجه,Ustrumca
استروشيجه,Ostroşiçe
استروغا,Ustruga
استروغه,Ustruga
استروما,Ustruma
استرومجه,Ustrumca
استرومجه و طويران,Ustrumca ve Doyran
استرونجيل,İstroncil
استرونكلى,İstrongili
استرونژيلونيسى,İstronjilonisi
استروه,Ostrova
استروپاليا,Ostropalya
استروپاليه,Ostropalya
استريوالى,İstrivali
استرپاليا,Ostropalya
استفا,İstifa
استفانيه,İstefanya
استفه,İstifa
استلوش,İstiloş
استليل,İstilil
استنكوى,İstanköy
استنوز,İstenoz
استنيجه,İsteniçe
استنيماقه,İstanimaka
استنيچه,İsteniçe
استوبجانيجه,İstubçaniçe
استودنه,Ustudana
استورغون,Estergon
استورمجه,Ustrumca
استورومجه,Ustrumca
استوروه,Ostrova
استوق,İstok
استولاچ,İstolaç
استولنى بالغراد,İstolni Belgrad
استولنى بلغراد,İstolni Belgrad
استولني بلغراد,İstolni Belgrad
استولچه و غبله,İstolaç (İstolça) ve Gabele
استون,Ostun (?)
استيفه,İstifa
استيه,İstiye
استپاليه و كرينه,Ostropalya (Astipalye) ve Kerpe
استپان,İstepan
اسحاقلو,İshaklı
اسحاقلى,İshaklı
اسحقلو,İshaklı
اسحقلى,İshaklı
اسرك,Esrik
اسريلجه (؟),İsrilçe (?)
اسطوقحولم,İstokholm
اسعرد,İsird
اسفاتى,Esfati
اسفاقس,İsfaks
اسفاچيا,İsfaçya
اسفاچيه,İsfaçya
اسفرلك,İsferlik
اسفرلك بانه سى,İsferlik Banası
اسفرليك,İsferlik
اسفنداباد,İsfendabad
اسفنيار,İsfinyar
اسفهان,Isfahan
اسقانبو,İskanbo
اسقانجه رو,İskancaro
اسقانيا,Askaniya
اسقرا پار,Iskırapar
اسقرابار,Iskırapar
اسقرادين,Iskıradin
اسقراپار,Iskırapar
اسقره دين,Iskıradin
اسقره پار,Iskırapar
اسقريه,İskurya
اسقرپار,Iskırapar
اسقلا,Iskala
اسقلاونيه,Esklavonya
اسقنبو,İskanbo
اسقوبيه,Uskupye
اسقوليه,İskoyla
اسقوينه,Uskupye (Uskovina)
اسقوپيه,Uskupye
اسكئ بالا,Eski-i Bala
اسكاكوى (؟),İskakoy (?)
اسكجه,İskeçe
اسكدار,Üsküdar
اسكدار مع كوملجنه,Üsküdar maa Gümülcine
اسكدير,Eskidir
اسكره,Eskere
اسكفير و ميلاث و حبسمانه,İskefsir ve Milas ve Habsamana
اسكفيه,İskefiye
اسكلب,İskilib
اسكلب مع تحت الطريق,İskilib maa Tahtettarik
اسكلب مع تحت الطريق و قطر,İskilib maa Tahtettarik ve Katar
اسكلب مع نواحى و قطار,İskilib maa Nevahi ve Katar
اسكلوح (؟),İskilib (İskiluh (?))
اسكليب,İskilib
اسكندربك,İskenderbey
اسكندرلى,İskenderli
اسكندروقف,İskendervakıf
اسكندرون,İskenderun
اسكندريه,İskenderiye
اسكندريّه,İskenderiye
اسكوب,Üsküb
اسكوب مع ناحيء قچانك,Üsküb maa Nahiye-i Kaçanik
اسكوب مع نواحى,Üsküb maa Nevahi
اسكوب مع نوكريچه,Üsküb maa Nogoriçe
اسكوبى,Üskübi
اسكوبي,Üskübi
اسكوتى,Üskütü
اسكودار,Üsküdar
اسكودر,Üsküdar
اسكى,Eski
اسكى ايل,Eskiil
اسكى ايل مع آقچه شهر و دربند خوطن,Eskiil maa Akçaşehir ve Derbend-i Hotamış (Derbend-i Hotan)
اسكى ايل مع قريش اوزى,Eskiil maa Kureyşözü
اسكى جمعه,Eskicuma
اسكى حصار,Eskihisar
اسكى سوده,Eskisuda
اسكى شام,Eskişam
اسكى شهر,Eskişehir
اسكى شهر مع قرجه شهر,Eskişehir maa Karacaşehir
اسكى غرانبوسه,Eskigranbusa
اسكى قوچكرى,Eskikoçgiri
اسكى كلى,Eskikili
اسكى مكرى,Eskimekri
اسكى منداروس,Eskimendaros
اسكى موصل,Eskimusul
اسكى موصل مع حسن كيف,Eskimusul maa Hısn-ı Keyf
اسكى ناغوريچ,Eskinagoriç
اسكى پاره,Eskipara
اسكى پولوس,Eskipolos
اسكي ايل,Eskiil
اسكي موصل,Eskimusul
اسكيادس,İskiyados
اسكيادوس,İskiyados
اسكيحصار,Eskihisar
اسكيشهر,Eskişehir
اسكيشهرمع قره جه شهر,Eskişehir maa Karacaşehir
اسكيفوس,Askifos
اسكيفى,İskifi
اسكينا,İskina
اسكچه,İskeçe
اسلاتنيك,Islatnik
اسلاطنيك,Islatnik
اسلانقمن,İslankamen
اسلاوشته,İslavişte
اسلاوقوفچه,Islavkofça
اسلميه,İslimye
اسليونه,İslivne
اسماعيل,İsmail
اسماعيليه,İsmailiye
اسمعيل,İsmail
اسموسقه,İsmoska
اسمولوك,İsmoluk
اسميلوه,İsmilova
اسنفجه,İsnefçe
اسوتى كوركه,İsvetigorge
اسوتى مقلوش,İsvetimikloş
اسوتى ولادساو,İsvetivladsav
اسوتي قيريش,İsvetikıriş
اسوتي كوركه,İsvetigorge
اسوتي مارتين,İsvetimartin
اسوتي ولادساو,İsvetivladsav
اسوكدار,Üsküdar
اسولنه,İsvilne
اسوچ ولايتي,İsveç Vilayeti
اسيا,Asya
اسياب,Asiyab
اسُكُوب,Üsküb
اسْتيهَ,İstiye
اسپارته,Isparta
اسپارتى,Isparti
اسپارطه,Isparta
اسپاص,İspas
اسپانوپول,İspanopol
اسپانيا,İspanya
اسپايرت,İspayrıt
اسپايرت مع خيزان,İspayrıt maa Hizan
اسپر,İspir
اسپرته,Isparta
اسپرلنقه,İspirlonka
اسپره چه,İspireçe
اسپرو,Aspiro
اسپروميسيا,Aspiro Misiya
اسپرونيزون,Aspronizon
اسپرونيس,Aspronis
اسپرونيسيا,Aspronisya
اسپلاترو,İspilatro
اسپلت,İsplit
اسپنزه,Aspinza
اسپورات,İsporat Adaları
اسپورات اطه لرى,İsporat Adaları
اسپورات شرقى اطه لرى,İsporat-ı Şarki Adaları
اسپوينانچه,İspoynaniçe
اسپير,İspir
اسپيه,Espiye
اشاغى,Aşağı
اشاغى اطمه,Aşağıatma
اشاغى بلاك,Aşağıbelen
اشاغى دندارلو,Aşağıdündarlı
اشاغى قلجلى,Aşağıkılıçlı
اشاغى كلر,Aşağıkeler
اشاغى كوى,Aşağıköy
اشباط,İşpat
اشبوزى مع پودغوريچه,İşpuzi maa Podgoriçe
اشتاغول,Aştagul
اشتاويچه,İştaviçe
اشتب,İştib
اشتر,İştir
اشتكين,İştikin
اشتى,Aşti
اشتي,Aşti
اشتيب,İştib
اشحان,İşhan
اشخان,İşhan
اشرف,Eşref
اشرفى اطه لرى,Eşrefi Adaları
اشغى زغوريه,Aşağızagorye
اشقرل,İşkarel
اشقلر,Işıklar
اشقلعه,Aşkale
اشقلو مع كينلر,Işıklı maa Geyikler (Geyinler)
اشقودره,İşkodra
اشقودره مع قوايه,İşkodra maa Kavaya
