osmanlica,transkripsiyon
آطه بازاري مع صبانجه,Adapazarı maa Sapanca (Sabanca)
آطه كيده,Adagide
آطه لر,Adalar
آطه لر دكزى,Adalar Denizi
آطه پازارى,Adapazarı
آطه پازارى مع صبانجه,Adapazarı maa Sapanca (Sabanca)
آطه پازارى مع صبانجى,Adapazarı maa Sapanca (Sabancı)
آغاجلو,Ağaçlı
آغاكس,Ağakis
آغاچلو,Ağaçlı
آغجه قشله,Ağcakışla
آغرافه,Ağrafa
آغروس,Ağros
آغرى,Ağrı
آغرى كول,Ağrıgöl
آغريا,Ağriya
آغريبوز,Ağrıboz
آغريجان,Ağrıcan
آغريدوس,Ağrıdos
آغستوس,Ağustos
آغلاسون,Ağlasun
آغلاسون طاغلرى,Ağlasun Dağları
آغوانس,Ağvanis
آغوه,Ağva
آغين,Ağın
آفرقيه مع باجه,Afrikıye maa Bace
آفرقيه مع مطر,Afrikıye maa Matar
آفريقيّه مع باجه,Afrikıye maa Bace
آفرين,Afrin
آفشار,Afşar
آفلانئ طاطاى,Eflani-i Daday
آفيون قره حصارى,Afyonkarahisarı
آفْرِقِيّه مع باجه,Afrikıye maa Bace
آق آباد,Akabad
آق اوره ن,Akören
آق بابا,Akbaba
آق بلنقه,Akpalanka
آق جيجه لى,Akciceli
آق حصار,Akhisar
آق حصار صاروخان,Akhisar-ı Saruhan
آق حصار گيوه,Akhisar-ı Geyve
آق دره,Akdere
آق دكز,Akdeniz
آق زيارت,Akziyaret
آق شهر,Akşehir
آق شهراباد مع يقه جق,Akşehirabad maa Yakacık
آق صو,Aksu
آق طاش,Aktaş
آق طاغ,Akdağ
آق طاغ معدنى,Akdağmadeni
آق قيا,Akkaya
آق قيا مع چكلى,Akkaya maa Çanlı
آق كول,Akgöl
آق كوى,Akköy
آق كوى و پازار صويى,Akköy ve Pazarsuyu
آق كيسى,Akkisi
آق كپرى,Akköprü
آق كپرى مع قورى همايون,Akköprü maa Koru-yı Hümayun
آق لوم,Aklom
آق ويران,Akviran
آق يازى مع خندق,Akyazı maa Hendek
آق يورك,Akyörük
آق پيكار,Akpınar
آق چاى,Akçay
آق چاى مع ترمه,Akçay maa Terme
آقبيكار,Akpınar
آقجه قيونلو,Akçakoyunlu
آقحصار,Akhisar
آقحصار كيوه,Akhisar-ı Geyve
آقحصار گيوه,Akhisar-ı Geyve
آقرا,Akra
آقسراى,Aksaray
آقسكى,Akseki
آقسنى,Aksini
آقشهر,Akşehir
آقشهر مع طوغانحصار,Akşehir maa Doğanhisar
آقطاش,Aktaş
آقمسجد,Akmescid
آقوه,Akova
آقوه مع بهور,Akova maa Bihor
آقيازى,Akyazı
آقيز,Akız
آقينجيلر,Akıncılar
آقچان,Akçan
آقچه آباد,Akçaabad
آقچه اباد مع يمهوره,Akçaabad maa Yemhura
آقچه حصار,Akçahisar
آقچه شهر,Akçaşehir
آقچه شهر آيدين,Akçaşehir-i Aydın
آقچه شهر بولى,Akçaşehir-i Bolu
آقچه شهرآيدين,Akçaşehir-i Aydın
آقچه شهرايدين,Akçaşehir-i Aydın
آقچه طاغ,Akçadağ
آقچه قويونلى,Akçakoyunlu
آكينارا,Akinara
آلا شهر,Alaşehir
آلا طاغ,Aladağ
آلا كليسا,Alakilise
آلا كوز,Alagöz
آلا چاتى,Alaçatı
آلا چاطى,Alaçatı
آلا چام مع حصارجق,Alaçam maa Hisarcık
آلاتو,Alato
آلاجه,Alaca
آلاجه حصار,Alacahisar
آلاجه خان,Alacahan
آلاجه لى,Alacalı
آلاشهر,Alaşehir
آلاشهراينه كول,Alaşehir İnegöl
آلاصونيه,Alasonya
آلافونيزى,Alafonizi
آلان,Alan
آلان برغوش,Alanberaguş
آلان و سراوِ ميرآباد,Alan ve Serav-ı Mirabad
آلاپلى,Alaplı
آلاپلى مع صماقو,Alaplı maa Samakov
آلاچام,Alaçam
آلباق,Albak
آلتون اوزى,Altınözü
آلتون ايلى,Altınili
آلتون طاش,Altıntaş
آلتون كوپرى,Altınköprü
آلتون كوپرى و مَلْحه,Altınköprü ve Melha
آلطونطاش,Altıntaş
آلقسنچه مع اسفرلك,Aleksinçe maa İsferlik
آلقوش,Alkuş
آلماش,Almaş
آلمالو,Elmalı
آلموس,Almus
آلموص,Almus
آلنجه,Alınca
آلوجره,Alucra
آليان,Alyan
آليقور,Alikor
آمارى,Amari
آماسيه,Amasya
آماسيه ايدين,Amasya-i Aydın
آماسيه مع نواحى,Amasya maa Nevahi
آماسيۀ آيدين,Amasya-i Aydın
آماسيۀ ايدين,Amasya-i Aydın
آماصره,Amasra
آماصرى,Amasra
آمبلوزو,Ambelozo
آمد,Amid
آمناتو,Amnato
آمورا,Amura
آمورغوس,Amorgos
آموس,Amos
آموطقه,Amutka
آنا پوديارى,Anapodyari
آنافى,Anafi
آنامور,Anamur
آنانس,Ananis
آناپوليس,Anapolis
آنبلاكى,Anbelaki
آنتعفوس,Antufus
آنتورا,Antura
آنتى اپصاره,Antiıpsara
آنتى تيلو,Antitilo
آنتيل اطه لرى,Antil Adaları
آندره آص,Andreas
آندريا,Andreya
آندرين,Andırın
آنزغير,Anzağır
آنس,Anis
آنطاقيه,Antakya
آنطاكيه,Antakya
آنطاليه,Antalya
آنغسترى,Angistri
آنقره,Ankara
آنكه لو,Angelo
آنويا,Anoya
آنيدروس,Anidros
آوا نوس,Avanos
آوانوس,Avanos
آوروپاى عثمانى,Avrupa-yı Osmani
آوغا,Avga
آوغو,Avgo
آوغون,Avgon
آولاغى,Avlağı
آولونار,Avlonar
آولونيه,Avlonya
آولونيه مع طوپ آلتى,Avlonya maa Topaltı
آونيك,Avnik
آوه نوس,Avanos
آوياواتو,Avyavato
آوْرَشه,Evreşe
آي باصدى,Aybasdı
آي مريم اطه لرى,Ayimeryem Adaları
آيا كرياكى,Ayakiryaki
آيا نيقولا,Ayanikola
آياثلوغ,Ayasluğ
آيازمند,Ayazmend
آياستفانوس,Ayastefanos
آياش,Ayaş
آياش مع برندى,Ayas (Ayaş) maa Berendi
آياصو,Ayasu
آياطوما,Ayatoma
آياكوركيوس,Ayagorgiyos
آياماوره,Ayamavra
آياموره,Ayamavra
آيان دون,Ayandon
آياندون,Ayandon
آيانيقولا,Ayanikola
آيايوان,Ayayovan
آيايونيس,Ayayonis
آياپترا,Ayapetra
آيبصدى,Aybasdı
آيدنجق,Aydıncık
آيدوس,Aydos
آيدوس بالقانى,Aydos Balkanı
آيدونات,Aydonat
آيدين,Aydın
آيدين ايلى,Aydınili
آيدين مع دكزلى,Aydın maa Denizli
آينه روز,Aynaroz
آيو نيقولا,Ayonikola
آيو پنوماتوس,Ayopanomatos
آيواجق,Ayvacık
آيواسيل,Ayovasil
آيوالق,Ayvalık
آيوالق مع كافر آغيلى,Ayvalık maa Kafirağılı
آيوالى,Ayvalı
آيوس جوانيس,Ayoscovanis
آيوس جورجييوس,Ayoscorciyos
آيوس جورجييوس اطه سى,Ayoscorciyos
آيى ديمترى,Ayidimitri
آيى مريم,Ayimeryem
آيى وارواره,Ayivarvara
آيى يوركى,Ayiyorgi
آيى يوركى اطه لرى,Ayiyorgi Adaları
آيى پراسكى,Ayiparaski
آيي پراسكي,Ayiparaski
آپتره,Aptera
آپقرون,Apokoron
آپودولو,Apodolu
آپوستولى,Apostoli
آپيرى,Apiri
آچيپوپولو,Açipopolo
آیدین,Aydın
أجه آباد,Eceabad
أختيك,İhtik
أشن,Eşen
أكيل,Eğil
أنس,Enes
ئه ده,Ede
ئه له ئوس,Eleos
ئوليا,Uliya
اب صافى,Ab-ı Safi
اب صافي,Ab-ı Safi
اب پاره,Abpare
ابا الابياض,Eba el-Ebyaz
اباد,Abad
ابادان,Abadan
اباران,Abaran
ابازا,Abaza
ابازه,Abaza
ابانه,Abana
ابدال,Abdal
ابدانان,Abdanan
ابر,Eber
ابرائل,İbrail
ابرائيل,İbrail
ابرادى,İbradı
ابرادي,İbradı
ابراله,İbrala
ابراهيميه,İbrahimiye
ابره,İbre
ابروجۀ عتيق,Obrovçe-i Atik
ابرومان,Ebruman
ابرى,Abrı
ابريق تپه,İbriktepe
ابريم,İbrim
ابرينك,Abrink
ابسلى,İpsili
ابش,Ebeş
ابصافى,Ab-ı Safi
ابصاله,İpsala
ابصله,İpsala
ابغاى,Abagay
ابكور,Abkur
ابلاى,Iblay
ابنه,Abana
ابها,Abha
ابهر,Ebher
ابو القلوع,Ebulkalu
ابو تج,Ebutic
ابو جوارير,Ebucevarir
ابو جِرْجَه مع بَهْنَسا,Ebucirce maa Behnesa
ابو جِرْجَه مع بَهْنَسَا,Ebucirce maa Behnesa
ابو ردوع,Eburadu
ابو روبا,Eburuba
ابو سراى,Ebusaray
ابو سعفه,Ebusafe
ابو شجر,Ebuşecer
ابو شد,Ebuşedd
ابو شوق قيالرى,Ebuşevke (Ebuşevk) Kayaları
ابو شوقر,Ebuşukar
ابو شوكه,Ebuşevke
ابو صحين,Ebusahin
ابو طاهر,Ebutahir
ابو عريش,Ebuariş
ابو على,Ebuali
ابو عَرِيش,Ebuariş
ابو غربه,Ebugarbe
ابو غريب,Ebugureyb
ابو فرح عميش,Ebuferah Amiş
ابو قبيس,Ebukubeys
ابو قلقل,Ebukalkal
ابو كبير,Ebukebir
ابو كمال,Ebukemal
ابو كَلْتِك,Ebukeltik
ابو لاد,Ebulad
ابو لعد,Ebulad
ابو مردفه,Ebumirdefe
ابو مطاره,Ebumutara
ابو موتارا,Ebumutara
ابو مورينا,Ebumurina
ابو موسى,Ebumusa
ابوالحسر,Ebulhisar
ابوالحصيب,Ebulhasib
ابوالخصيب,Ebulhasib
ابوالخير,Ebulhayr
ابوط,Obot
ابى الححا,Ebilhaha
اتابك,Atabey
اتاق,Atak
اتاقا,Atak
اتاقى,İtaki
اتالانتى,Atalanti
اتاليا,İtalya
اتجه,Atça
اتراكيۀ بزرك,Etrakiye-i Büzürk
اتره (؟),Etre (?)
اتره بول,Etrepol
اتره پول,Etrepol
اتروپول,Etrepol
اترپول,Etrepol
اتن,Atin
اتنه,Atina
اتنه كيفسه و اتنه ماصويه,Atina Kifse ve Atina Hasiye (Masuye)
اتوغوشته,Onogoşta (Otogoşta)
اتوقو,Atoko
اتيكان,Atikan
اتين,Atin
اجاجى,Acacı
اجاره,Acara
اجارۀ سفلا,Acara-i Süfla
اجارۀ سفلى,Acara-i Süfla
اجارۀ عليا,Acara-i Ulya
اجره,Acara
اجره دره سى,Acaraderesi
اجرى,Acari
اجرۀ سفلا,Acara-i Süfla
اجرۀ سفلى,Acara-i Süfla
اجرۀ عليا,Acara-i Ulya
اجق باش,Açıkbaş
اجمده,Ecmede
اجنان تورك,Acnan-ı Türk
اجنان كارحانه,Acnan-ı Karhane
اجه آباد,Eceabad
اجه اباد,Eceabad
اجه اباد و مايدوس,Eceabad ve Maydos
احتما,İhtima
احتمان,İhtiman
احتمه,İhtima
احته جئ سفلا,Ahtacı-i Süfla
احته جئ عليا,Ahtacı-i Ulya
احتى,Ahti
احتيار,İhtiyar
احجرك,Ahçirik
احد,Ehad
احدلر,Ahadlar
احدلر كبير,Ahadlar-ı Kebir
احسا,Ahsa
احسن دره,Ahsendere
احلاط,Ahlat
احلطبا,Ahaltaba
احلكلك,Ahilkelek
احمد بك,Ahmedbey
احمدلى,Ahmedli
احينوز,Ahinoz
احيولى,Ahyolu
احچرك,Ahçirik
اخا,Aha
اخبصور,Ahbisor
اخترين,Ahterin
اختك,İhtik
اختمار,Ahtamar
اخته جى,Ahtacı
اخته پولى,Ahtapolu
اختى,Ahti
اختيار,İhtiyar
اخرى,Ohri
اخست آباد,Ahıstabad
اخست اباد,Ahıstabad
اخسقه,Ahıska
اخسن دره,Ahsendere
اخصتباد,Ahıstabad
اخطار مع قره كليسا,Ahtar maa Karakilise
اخطله,Ahtala
اخلاط,Ahlat
اخلاط و چقور,Ahlat ve Çukur
اخلكلك,Ahilkelek
اخميم,Ahmim
اخنجى,Ahıncı
اخى جلبى,Ahiçelebi
اخى چلبى,Ahiçelebi
اخيران,Ahiran
اداليه,Adalya
ادامانلو عشيرتى,Adamanlı Aşireti
ادانه,Adana
ادرميد,Edremid
ادرنه,Edirne
ادرنه مع جسر مصطفى پاشا,Edirne maa Cisr-i Mustafapaşa
ادرنه مع قرق كليسا,Edirne maa Kırkkilise
ادرنه مع نواحى,Edirne maa Nevahi
ادره ميد,Edremid
ادلب,İdlib
ادلفيا,Adelfiya
ادليب,İdlib
ادليب الصغرى مع معرّة المصرين,İdlib (İdlibüssuğra) maa Maarratülmısrin
ادنه,Adana
ادنَه,Adana
اده,Ada
اديحون,Adıhun
اديرناس,Adirnas
اذربيجان,Azerbaycan
اذميد,İzmid
اذينه,Ezine
اذينه بازارى,Ezinepazarı
اذينه پازارى,Ezinepazarı
ار طوشيان,Ertuşiyan Aşireti
ارآنئ جله برد,Arani-i Çelaberd
ارآنئ شمكور,Arani-i Şemkür
ارآنئ نهر حسن,Arani-i Nehr-i Hasan
ارآنيء انجه,Arani-i İnce
ارآنيء ديزآق,Arani-i Dizak
اراج,Araç
اراد,Arad
ارالق و اجوزى و بوزلان و قراقورقان وغره (؟),Aralık ve Acuzi ve Bozlan (?) ve Karakurkan ve Gara (?)
اراليجق,Aralıcak
اراليق,Aralık
ارامل,Eramil
ارانئ كنجه,Arani-i Gence
ارانئ كورك بصان,Arani-i Kürekbasan
ارانيء زكم,Arani-i Zegem
اراوانص,Aravans
اراچ,Araç
ارباز,Arpaz
ارباط,Arabat
اربد,İrbid
اربد و عجلون,İrbid ve Aclun
اربعه,Erbaa
اربل,Erbil
اربل مع تلعفر,Erbil maa Telafer
اربيد,İrbid
اربيل,Erbil
اربيل سلطانيه,Erbil Sultaniye
ارتق آباد,Artukabad
ارتق اباد,Artukabad
ارتق اباد و مشهد اباد مع سلس ازوى,Artukabad ve Meşhedabad maa Silisözü
ارتوشى,Artuşi
ارتوق آباد,Artukabad
ارتوق اباد,Artukabad
ارج,Erec
ارجار,Arçar
ارجش,Erciş
ارجه,Arca
ارجياس,Erciyes
ارجيش,Erciş
ارجيش حيدرانلى عشيرتى,Erciş Haydaranlı Aşireti
ارحانكلوس,Arhangelos
ارحب,Erhab
ارحمى,Erhami
ارحوس,Arhos
ارحوى,Arhavi
ارخاوى,Arhavi
ارخوس,Arhos
ارخوه مع ويجه,Arhavi (Arhova) maa Viçe
ارخوه مع ويچه,Arhavi (Arhova) maa Viçe
ارخوى,Arhavi
ارداسه,Ardasa
اردان,Ardan
اردبيل,Erdebil
اردك,Erdek
اردك مع قپو طاغى,Erdek maa Kapudağı
اردك و قپو طاغى,Erdek ve Kapudağı
اردل,Erdel
اردل ولايتي,Erdel Vilayeti
اردلان,Erdelan
اردن,Ürdün
اردنوج,Ardanuç
اردنوچ,Ardanuç
ارده باشى,Ardabaşı
ارده شن,Ardeşen
اردهان بزرك,Ardahan-ı Büzürk
اردهان كوچك,Ardahan-ı Küçük
اردو,Ordu
اردو مع بيراملو و بولانجق,Ordu maa Bayramlı ve Akköy (Bulancak)
اردواولو بك,Ordu Ulubey
اردود,Erdud
اردوس,Ardos
اردوى بيراملو,Ordu-yı Bayramlı
اردوى همايون,Ordu-yı Hümayun
ارزن,Erzen
ارزنجان,Erzincan
ارزنجان مع قورى چاى وكرجانس,Erzincan maa Kuruçay ve Gercanis
ارزنجان مع قوزاى ارزنجان,Erzincan maa Kuzeyerzincan
ارزنه,Erzine
ارزين,Erzin
ارزينه,Erzine
ارسبآر,Arasbar
ارسبار,Arasbar
ارسك,Ersek
ارسلان,Arslan
ارسلان اپا,Arslanapa
ارسوز,Arsuz
ارسيس,Ersis
ارش,Ereş
ارشوشين,Erşuşin
ارشوه,İrşova
ارض روم,Erzurum
ارض روم و بايبورد و كماخ,Erzurum ve Bayburd ve Kemah
ارضروم,Erzurum
ارضروم اووه جق,Erzurum Ovacık
ارطاش,Ertaş
ارغلاستى,Argalasti
ارغن,Argın
ارغنى,Ergani
ارغنى مع حساران,Ergani maa Hasaran
ارغنى مع قواجيلر سرملى حضران,"Ergani maa Kovacılar Sürmeli, Hasaran (Hazaran)"
ارغنى مع كبان معدنى,Ergani maa Kebanmadeni
ارغنى مع ناحيۀ خساران,Ergani maa Nahiye-i Hasaran
ارغنى مع نواحى و حضران,Ergani maa Nevahi ve Hasaran (Hazaran)
ارغنى معدنى,Erganimadeni
ارغني,Ergani
ارغو,Argo
ارغوان,Arguvan
ارغوست,Argust
ارغوما,Argoma
ارغيد خانى,Argıdhanı
ارغين,Argın
ارقاديه,Arkadya
ارقاكى,Arkaki
ارقالوخوريو,Arkalohoryo
ارقر,Hufra (Arkar (?))
ارقليه,Irakliya
ارقودى,Arkudi
ارقونيزى,Arkonizi
ارقى,Arki
اركرى قصرى,Argirikasrı
اركلئ آق دكز,Ereğli-i Akdeniz
اركلئ قره مان مع دربند بكدك و چيان,Konya Ereğli (Ereğli-i Karaman) maa Derbend-i Bekdik ve Çayan
اركلت,Erkilet
اركلى و اندوى و نيكده,Konya Ereğli (Ereğli) ve Anduğu ve Niğde
اركلي,Erikli
اركنس,Erkinis
اركنك,Erkenek
اركنيس,Erkinis
اركه,Erge
اركوب,Ürgüb
اركوپ,Ürgüp
اركى,Arki
اركى طاقم اطه لرى,Arki Takımadaları
اركيروپولي,Argiropoli
اركيرى قصرى,Argirikasrı
ارله,İrle
ارله مع ياويجه,İrle maa Yavice
ارم و اوكسه و ايواجق,Arım ve Ökse ve Ayvacık
ارماتيا,Armatiya
ارمتيا,Armatiya
ارملو,İremli
ارمناز,Armanaz
ارمناك,Ermenek
ارمناك مع نواحى,Ermenek maa Nevahi
ارمنى كوى,Ermeniköy
ارمنى پازارى,Ermenipazarı
ارمني بازاري,Ermenipazarı
ارمنيك,Ermenik
ارمنيه,Ermeniye
ارمود ايلى,Armudili
ارمودان,Armudan
ارمودايلى,Armudili
ارمودلو,Armudlu
ارمودلى,Armudlu
ارموى,Armavi
ارميشه,Ermişe
ارميه,Armiye
ارميه مع فوقوس,Armiye maa Kokoş (Kokos)
ارميه مع قوقوس,Armiye maa Kokoş (Kokos)
ارميه مع قوقوش,Armiye maa Kokoş
ارميه و ولستين و غلوس,Armiye ve Velestin ve Golos
ارن كوى,Erenköy
ارناود,Arnavud
ارناودلق,Arnavudluk
ارنكوى,Erenköy
ارنكوي,Erenköy
ارنود ايلى,Arnavudili
ارنودان,Arnavudan
ارنيج,Erniç
اره ليجق,Aralıcak
اره ليق,Aralık
ارواد,Arvad
اروالو و كوبيان,Arvalı ve Kübyan
اروانص,Aravans
اروانق,Arvanak
اروته,Ruta (Erruta (?))
ارود,Arud
اروش,Uruş
اروه,Eruh
اريحا,Eriha
اريحه,Eriha
اريحه / اريحا,Eriha
اريدوس,Aridos
اريسترى,Aristiri
اريسوس,Erisos
اريقلى,Arıklı
اريك,İrig
اريم,Arım
اريم كرچلو,Arım-ı Kireçli
اريم يراشلو,Arım-ı Yaraşlı
اريمونيسوس,Erimonisos
ارينيا,Eriniya
ارپاز,Arpaz
ارپالي,Arpalı
ارپه لو,Arpalı
ارچار,Erçar
ارچك,Erçek
ارچل,Erçel
ارگرى قصرى,Argirikasrı
ارگلئ قرمان مع بايبورد,Konya Ereğli (Ereğli-i Karaman) maa Bayburd
ارگلى,Ereğli
ازآق,Azak
ازاد جيران,Azadciran
ازاق,Azak
ازبدر,Ezbider
ازبيدر,Ezbider
ازدين,İzdin
ازرع,Ezra
ازطواى,Azdavay
ازطواى معدنجى,Azdavay-ı Madenci
ازطوى,Azdavay
ازغار,Izgar
ازغور,Azgur
ازلادى,İzladi
ازلرقه,İzlarika
ازمياني,İzmiyani
ازميد,İzmid
ازميد مع نواحئ اَيْواجق و باغچه جك و يگى كوى,İzmid maa nevahi-i Ayvacık ve Bağçecik ve Yeniköy
ازمير مع نواحئ جمعه آباد و برون آباد و تريانده و آيا سفيد نام ديكر كلزمان و اورله,İzmir maa nevahi-i Cumaabad ve Birunabad ve Tiryanda ve Ayasefid nam-ı diğer Kilizman ve Urla
ازمير مع نواحى,İzmir maa Nevahi
ازميرنيك,İzmirnik
ازميرنيك قره طاغى,İzmirnik Karadağı
ازمينه پوليه,İzminepolye
ازنارد,Eznard
ازنافير,Aznafir
ازناور,Aznavur
ازنه بازارى,Ezinepazarı
ازنيق,İznik
ازنيق و كورله,İznik ve Gürle
ازنيك,İznik
ازنيچه مع تراونيك,İzeniçe maa Travnik
ازنپول,İznepol
ازورنيق,İzvornik
ازون صقال,Uzunsakal
ازونى غراد,İzvenigrad
ازوورنيق,İzvornik
ازوچان,İzveçan
ازوچاى,İzveçay
ازوچن,İzveçan
ازى و اقكرمان,Özi ve Akkirman
ازيدين,Azidin
ازينه,Ezine
ازينه بازارى,Ezinepazarı
ازينه پازارى,Ezinepazarı
ازينۀ آياثلوغ,Ezine-i Ayasluğ
ازينۀ اياثلوغ,Ezine-i Ayasluğ
ازيچه,Öziçe
اسابعِ كربه,Esabi-i Kerbe
اساقجى,İsakcı
اسبارته,Isparta
اسبالاتونيس,İspalatonis
اسبر,İspir
اسبرونيسيا,Aspronisya
اسبوب,Esbub
استا نمقه,İstanimaka
استا نيمقه,İstanimaka
استاتيه,Ostatye
استار افلاق,İstar Eflak
استار برود,İstaribrod
استاره سله,İstarasile
استاره سله مع يانوه,İstarasile maa Yanova
استاره سيله,İstarasile
استاره شناوه,İstaraşinava
استاروه,İstarova
استارووه,İstarova
استارى غراد,İstarigrad
استارى معدن,İstarimaden
استاري غراد,İstarigrad
استاريه,İstarya
استارچسته,İstarçiste
استاكيدا,Astakida
استاكيده,Astakida
استاماتى,İstamati
استانبول,İstanbul
استانبول كوى,İstanbulköy
استانبول و غلطه,İstanbul ve Galata
استانديه,İstandiya
استاندييا,İstandiya
استانكوى,İstanköy
استانكوى سنجاغى,İstanköysancağı
استانكوي,İstanköy
استانكى,İstanki
استانمقه,İstanimaka
استانه,Asitane
استانوز و عشيرت مورطنه و كنيز و صارى كچيلو و ابدالان و تحته جيلو و مسكون انطاليه,İstanoz ve Aşiret-i Murtana ve Keniz ve Sarıkeçili ve Abdalan ve Tahtacılı ve Meskun-ı Antalya
استانوس,İstanos
استاورو,İstavro
استاورو منوس,İstavromenos
استاپوديا,İstapodya
استراجه,İstraca
استراكى,İstiraki
استرانجه,Istranca
استرانجيلو,İstrancilo
استراژمان,İstrajoman
استراژومان,İstrajoman
استرزوب,Ustrozob
استرشيجه,Ostroşiçe
استرغون,Estergon
استرمجه,Ustrumca
استرميچه,İstirmiçe
استره,İstre
استروشيجه,Ostroşiçe
استروغا,Ustruga
استروغه,Ustruga
استروما,Ustruma
استرومبولى,Istromboli
استرومجه,Ustrumca
استرومجه و طويران,Ustrumca ve Doyran
استرونجيل,İstroncil
استرونكلو,İstrongilo
استرونكلى,İstrongili
استرونكيلو,İstrongilo
استرونژيلونيسى,İstronjilonisi
استروه,Ostrova
استروپاليا,Ostropalya
استروپاليه,Ostropalya
استريوالى,İstrivali
استريچه,İstriçe
استرپاليا,Ostropalya
استفا,İstifa
استفان,İstefan
استفانيه,İstefanya
استفه,İstifa
استقولنه,Ustokolina
استلوش,İstiloş
استليل,İstilil
استنكوى,İstanköy
استنوز,İstenoz
استنيجه,İsteniçe
استنيماقه,İstanimaka
استنيچه,İsteniçe
استوبجانيجه,İstubçaniçe
استودنه,Ustudana
استورغون,Estergon
استورمجه,Ustrumca
استورومجه,Ustrumca
استوروه,Ostrova
استوق,İstok
استولاچ,İstolaç
استولنى بالغراد,İstolni Belgrad
استولنى بلغراد,İstolni Belgrad
استولني بلغراد,İstolni Belgrad
استولچه و غبله,İstolaç (İstolça) ve Gabele
استون,Ostun (?)
استيفه,İstifa
استيه,İstiye
استپاليه و كرينه,Ostropalya (Astipalye) ve Kerpe
استپان,İstepan
اسحاقلو,İshaklı
اسحاقلى,İshaklı
اسحقلو,İshaklı
اسحقلى,İshaklı
اسد اباد,Esedabad
اسداباد,Esedabad
اسرك,Esrik
اسريلجه (؟),İsrilçe (?)
اسطوقحولم,İstokholm
اسعرد,İsird
اسفاتى,Esfati
اسفاقس,İsfaks
اسفاكيا,İsfakiye
اسفاكيه,İsfakiye
اسفاچيا,İsfaçya
اسفاچيه,İsfaçya
اسفرلك,İsferlik
اسفرلك بانه سى,İsferlik Banası
اسفرليك,İsferlik
