osmanlica,transkripsiyon
اخنجى,Ahıncı
آخير طاغلرى,Ahır Dağları
اخسقه,Ahıska
اخسخه,Ahıska/Ahısha
احسحه,Ahıska/Ahısha
آخسخه,Ahıska/Ahısha
اخصتباد,Ahıstabad
اخست آباد,Ahıstabad
اخست اباد,Ahıstabad
اخى چلبى,Ahiçelebi
آخى چلبى,Ahiçelebi
اخى چلبى,Ahiçelebi
اخى جلبى,Ahiçelebi
نفس اخى چلبي,Ahiçelebi merkez
اخلكلك,Ahilkelek
احلكلك,Ahilkelek
عاهم,Ahim
احينوز,Ahinoz
اخيران,Ahiran
عاهره,Ahire
اخلاط,Ahlat
احلاط,Ahlat
آخلاط,Ahlat
آحلاط,Ahlat
نفس اخلاط,Ahlat merkez
اخلاط و چقور,Ahlat ve Çukur
احمد بك,Ahmedbey
احمدلى,Ahmedli
اخميم,Ahmim
آخْميم,Ahmim
احسا,Ahsa
آحسا,Ahsa
لَحْسا,Ahsa/Lahsa
لحسا,Ahsa/Lahsa
احصا,Ahsa/Lahsa
نجد,Ahsa/Necid
نجد شرقى,Ahsa/Necid-i Şarki
احسن دره,Ahsendere
اخسن دره,Ahsendere
اخته جى,Ahtacı
احته جئ سفلا,Ahtacı-i Süfla
احته جئ عليا,Ahtacı-i Ulya
اخطله,Ahtala
اختمار,Ahtamar
اخته پولى,Ahtapolu
اخته پولى,Ahtapolu
آخته پولى,Ahtapolu
اغاتبولى,Ahtapolu/Ağatabolu
اغتبولى,Ahtapolu/Ağtabolu
احته بولى,Ahtapolu/Ahtabolu
اخطار مع قره كليسا,Ahtar maa Karakilise
اخترين,Ahterin
اختى,Ahti
احتى,Ahti
آخيولى,Ahyolu
احيولى,Ahyolu
آق آباد,Akabad
اق اباد,Akabad
اقچه اووه,Akabad/Akçaova
آقچه اووا,Akabad/Akçaova
اقچه اوه,Akabad/Akçaova
عقبه,Akabe
اقرجه,Akarca
عَقَرْقوف,Akarkuf
آق بابا,Akbaba
اق بولاق,Akbulak
آق جيجه لى,Akciceli
اقچه,Akça
آقچه آباد,Akçaabad
اقچه اباد,Akçaabad
اقچه آباد,Akçaabad
اقجه اباد,Akçaabad
اقچه اباد مع پولادخانه,Akçaabad maa Poladhane
اقچه اباد مع پولاط[خا]نه,Akçaabad maa Polat[ha]ne
آقچه اباد مع يمهوره,Akçaabad maa Yemhura
اغجه اباد,Akçaabad/Ağcaabad
اقچه آباد,Akçaabad/Polathane
پولتخانه,Akçaabad/Polathane
پولتخانه,Akçaabad/Polathane
بولاتخانه,Akçaabad/Polathane
اقچه بيكلى,Akçabeyli
اقچه طاغ,Akçadağ
آقچه طاغ,Akçadağ
آقچه طاغ,Akçadağ
اقجه طاغ,Akçadağ
اغجه طاغ,Akçadağ/Ağcadağ
اقجه طاغ,Akçadağ/Akcadağ
آقچه طاغ,Akçadağ/Arga
ارغه,Akçadağ/Arga
آقچه حصار,Akçahisar
اقچه حصار,Akçahisar
اقجه حصار,Akçahisar
اقحصار,Akçahisar/Akhisar
قروجه,Akçahisar/Kruca
قرويه,Akçahisar/Kruya
آقچه حصار,Akçahisar/Kruya
الاجه حصار,Akçahisar/Kruya (Alacahisar)
اقچه حصار,Akçahisar/Tiran
اقچه قلعه,Akçakale
اقجه قلعه,Akçakale
اقچه قلعه,Akçakale
اغجه قلعه,Akçakale (Ağcakale)/Aşti
اغجه قلعه,Akçakale/Ağcakale
آغجه قلعه,Akçakale/Ağcakale
اَقْچه قَلعَه,Akçakale/Aşti
اقچه قزانلق,Akçakızanlık
اقجه قزانلق,Akçakızanlık
قزانلق,Akçakızanlık/Kızanlık
قزانلق,Akçakızanlık/Kızanlık
اقچه كليسا,Akçakilise
اقچه كليسا مع  قارلوه,Akçakilise maa Karlova
آقجه قيونلو,Akçakoyunlu
آقچه قويونلى,Akçakoyunlu
آقچه قيونلر,Akçakoyunlu/Akçakoyunlar
اقجه مسجد,Akçamescid
اقچان,Akçan
آقچان,Akçan
اقچار,Akçar
اقچه شهر,Akçaşehir
اسكيشر مع اسكى ايل,Akçaşehir (Eskişer) maa Eskiil
اقچه شهر مع اسكي ايل,Akçaşehir maa Eskiil
اقچه شهر مع اسكي ايل,Akçaşehir maa Eskiil
آقچه شهر بولى,Akçaşehir-i Bolu
اقجه شهر بولى,Akçaşehir-i Bolu
اقچه شهر,Akçaşehir-i Bolu/Akçaşehir
آقچه شهر,Akçaşehir-i Bolu/Akçaşehir
اقچشهر,Akçaşehir-i Bolu/Akçaşehir
اقجه شهر,Akçaşehir-i Bolu/Akçaşehir
آق چاى,Akçay
اقچاى,Akçay
اق جاى,Akçay
آق چاى مع ترمه,Akçay maa Terme
آق طاغ,Akdağ
اقطاغ,Akdağ
اق طاغ,Akdağ
اغويران,Akdağ/Ağviran
آق طاغ معدنى,Akdağmadeni
آق طاغ معدنى,Akdağmadeni
آق طاغ مع معدنجيان,Akdağmadeni/Akdağ maa Madenciyan
آق طاغ معدن همايونى,Akdağmadeni/Akdağ Maden-i Hümayunu
آق طاغ معدن,Akdağmadeni/Akdağmaden
معدن,Akdağmadeni/Maden
معدن,Akdağmadeni/Maden
معدن همايون آق طاغ,Akdağmadeni/Maden-i Hümayun-ı Akdağ
آق دكز,Akdeniz
اق دكز,Akdeniz
اق دكيز,Akdeniz
بحر سفيد,Akdeniz/Bahr-i Sefid
بحرسفيد,Akdeniz/Bahr-i Sefid
آق دره,Akdere
آق كول,Akgöl
اقحصار,Akhisar
آقحصار,Akhisar
آق حصار,Akhisar
نفس آقحصار,Akhisar merkez
آقحصار گيوه,Akhisar-ı Geyve
آقحصار كيوه,Akhisar-ı Geyve
اق حصار كيوه,Akhisar-ı Geyve
آق حصار گيوه,Akhisar-ı Geyve
اقحصار كيوه,Akhisar-ı Geyve
اقحصار,Akhisar-ı Geyve (Akhisar)/Karagöz
قره كوز,Akhisar-ı Geyve (Akhisar)/Karagöz
اق حصار,Akhisar-ı Geyve/Akhisar
آق حصار,Akhisar-ı Geyve/Akhisar
آقحصار,Akhisar-ı Geyve/Akhisar
اقحصار,Akhisar-ı Geyve/Akhisar
كيوه اق حصار,Akhisar-ı Geyve/Geyve Akhisar
اق حصار صاروخان,Akhisar-ı Saruhan
آق حصار صاروخان,Akhisar-ı Saruhan
اقحصار صاروخان,Akhisar-ı Saruhan
اقجه حصار صارى خان,Akhisar-ı Saruhan/Akçahisar-ı Sarıhan
اقچه حصار صاروخان,Akhisar-ı Saruhan/Akçahisar-ı Saruhan
اقحصار,Akhisar-ı Saruhan/Akhisar
آقحصار,Akhisar-ı Saruhan/Akhisar
آق حصار,Akhisar-ı Saruhan/Akhisar
بوغوينه,Akhisar/Bugoyna
آقحصار,Akhisar/Bugoyna
بقوژين,Akhisar/Bugoyna (Bukojin)
بقوزى,Akhisar/Bugoyna (Bukozi)
قلعۀ اقحصار,Akhisar/Kale-i Akhisar
پيلوري,Akhisar/Pilori
آق حصار,Akhisar/Uskoble-i Zir
واروش قلعۀ اقحصار,Akhisar/Varoş-ı Kale-i Akhisar
اق حصار دره سى,Akhisarderesi
اقحصار,Akhisarderesi/Akhisar
آقينجيلر,Akıncılar
اقنجيان نيكبولى و سلستره,Akıncıyan-ı Niğbolu ve Silistre
آقيز,Akız
عقيق,Akik
آكينارا,Akinara
عكا,Akka
عكه,Akka
عكا,Akka
نفس عكا,Akka merkez
اق قادينلر,Akkadınlar
عكار,Akkar
عكار,Akkar
آق قيا,Akkaya
اق قيا,Akkaya
آق قيا مع  چكلى,Akkaya maa Çanlı
اقجه طاش,Akkaya/Akçataş
آق كوى,Akkaya/Akköy
آق قيا,Akkaya/Çanlı
عك,Akke
اق كچلو,Akkeçili
اقكره,Akkere
اقكرمان,Akkirman
اق كرمن,Akkirman
اق كرمان,Akkirman
اقكرمن,Akkirman
آق كيسى,Akkisi
اق كپرى,Akköprü
آق كپرى مع  قورى همايون,Akköprü maa Koru-yı Hümayun
آق كوپرى,Akköprü/Koru-yı Hümayun
قورئ همايون,Akköprü/Koru-yı Hümayun
آق كوى,Akköy
اقكوى,Akköy
آق كوى و پازار صويى,Akköy ve Pazarsuyu
بولانجق,Akköy/Bulancak
اق ليمان,Akliman
آق لوم,Aklom
اقمسجد,Akmescid
اق مسجد,Akmescid
آقمسجد,Akmescid
آقوه,Akova
اقوه,Akova
اقوه مع بهور,Akova maa Bihor
آقوه مع  بهور,Akova maa Bihor
اقوه مع قمران,Akova maa Komaran
آق بلنقه,Akpalanka
موسى پاشا,Akpalanka/Musapaşa
آقبيكار,Akpınar
آق پيكار,Akpınar
عقره,Akra
آقرا,Akra
قلاع عقره و كلى دير,Akra (Kıla-ı Akra) ve Killideyr
قلاع عقره وكل دير,Akra (Kıla-ı Akra) ve Killideyr
قلاع عقره وكلّى دير,Akra (Kıla-ı Akra) ve Killideyr
نفس عقره,Akra merkez
اقروطور,Akrotor
اق صچلي عشيرتي,Aksaçlı Aşireti
اقصالور,Aksalur
اقصالق,Aksalur/Aksalık
اقسراى,Aksaray
آقسراى,Aksaray
اقسراى,Aksaray
اقسراي,Aksaray
اقسراى مع ايوب ايلى,Aksaray maa Eyübili
اقسرا,Aksaray/Aksara
اق ساز,Aksaz
اقصاز,Aksaz
اقسكى,Akseki
آقسكى,Akseki
اق سكى,Akseki
اقسكي,Akseki
اق سكي,Akseki
نواحئ علائيه,Akseki (Nevahi-i Alaiye)/Marulya
نفس آقسكى,Akseki merkez
ماروله,Akseki/Marula
ماروليه,Akseki/Marulya
نواحيء علائيه,Akseki/Nevahi-i Alaiye
نواحئ علائيه,Akseki/Nevahi-i Alaiye
نواحئ علائيّه,Akseki/Nevahi-i Alaiye
نواحى علائيه,Akseki/Nevahi-i Alaiye
اق سكر,Aksenir
آقسنى,Aksini
آقسنى,Aksini
آق صو,Aksu
اق شهر,Akşehir
آقشهر,Akşehir
اقشهر,Akşehir
آق شهر,Akşehir
آقشهر مع طوغانحصار,Akşehir maa Doğanhisar
نفس آقشهر,Akşehir merkez
اقشهر اباد,Akşehirabad
اق شهراباد,Akşehirabad
اقشهراباد,Akşehirabad
آق شهراباد مع يقه جق,Akşehirabad maa Yakacık
اباد اقشهر,Akşehirabad/Abad-ı Akşehir
اقشهر,Akşehirabad/Akşehir
آقشهر,Akşehirabad/Akşehir
اق طاش,Aktaş
آقطاش,Aktaş
آق طاش,Aktaş
اقطاش,Aktaş
عاقو,Aku
اكو,Aku
آق ويران,Akviran
اق ويران,Akviran
اق ويران,Akviran/Akören
اقيازى,Akyazı
آقيازى,Akyazı
اقيازى,Akyazı
اق يازى,Akyazı
آق يازى مع خندق,Akyazı maa Hendek
آق يازى مع خندق,Akyazı maa Hendek
آق يازى مع  خندق,Akyazı maa Hendek
اق يازى مع خندق,Akyazı maa Hendek
خندق,Akyazı/Hendek
اقيازى,Akyazı/Hendek
اق يورك,Akyörük
آق يورك,Akyörük
اق يورك مع حاجى حمزه,Akyörük maa Hacıhamza
آق زيارت,Akziyaret
اعلا,Ala
طار العلا,Ala/Tarulala
الااغج,Alaağaç
الابنده,Alabanda
پيراصو,Alabanda/Praso
پراصو,Alabanda/Praso
عَلاج,Alac
علاج,Alac
الاجه حاجى,Alacahacı
الاجه خان,Alacahan
الا جه خان,Alacahan
آلاجه خان,Alacahan
خان الاجه,Alacahan/Han-ı Alaca
آلاجه حصار,Alacahisar
الاجه حصار,Alacahisar
الآجه حصار,Alacahisar
الاجَه حصار,Alacahisar
الاجه حصَار,Alacahisar
الا حصار,Alacahisar/Alahisar
واروش الاجه حصار,Alacahisar/Varoş-ı Alacahisar
آلاجه لى,Alacalı
آلا چالى,Alacalı/Alaçalı
الا چام,Alaçam
آلاچام,Alaçam
الاچام,Alaçam
اله چام,Alaçam
الا جام,Alaçam
آلا چام مع حصارجق,Alaçam maa Hisarcık
الاچاطى,Alaçatı
آلا چاتى,Alaçatı
آلا چاطى,Alaçatı
الاچطى,Alaçatı
الاجه آت,Alaçatı/Alacaat
الا چات,Alaçatı/Alaçat
الا طاغ,Aladağ
آلا طاغ,Aladağ
آق طاغ,Aladağ/Akdağ
الاديكك,Aladinek
الاديكاك,Aladinek
آلافونيزى,Alafonizi
الافيوز,Alafonizi/Elafoyoz
الاكوز,Alagöz
آلا كوز,Alagöz
الاحناس,Alahnas
الاحونيه,Alahonya
الاخونيه,Alahonya
الا حتيان,Alahtiyan
الا ختيان,Alahtiyan
الاختيان,Alahtiyan/Hayati
علائيه,Alaiye
علائيّه,Alaiye
علائيه مع قره لر,Alaiye maa Karalar
علائيه مع قريه لر,Alaiye maa Karalar (Karyeler)
علائيه مع نواحى,Alaiye maa Nevahi
نفس علائيه,Alaiye merkez
علائيه واقسكى,Alaiye ve Akseki
علايه,Alaiye/Alaye
الا كليسا,Alakilise
آلا كليسا,Alakilise
الا كوى,Alaköy
الامان,Alaman
الامان دكزى,Alaman Denizi
آلان,Alan
الآن,Alan
الان,Alan
آلان و سراوِ ميرآباد,Alan ve Serav-ı Mirabad
آلان برغوش,Alanberaguş
الند,Aland
الانسه,Alansa
الاپلى,Alaplı
آلاپلى,Alaplı
آلاپلى مع صماقو,Alaplı maa Samakov
الاره,Alara
الاصونيه,Alasonya
الاصونيه,Alasonya
آلاصونيه,Alasonya
نفس الاصونيه,Alasonya merkez
الاشهر,Alaşehir
آلاشهر,Alaşehir
آلا شهر,Alaşehir
اله شهر,Alaşehir
نفس آلاشهر,Alaşehir merkez
الاشهر ايدين,Alaşehir/Alaşehir-i Aydın
الاتا,Alata
الاطه,Alata
الاتااطه سى,Alata
آلاتو,Alato
الاتو,Alato
الاتونيس,Alato/Alatonis
الاتونيسى,Alato/Alatonisi
علاونه,Alavna
علبه,Alba
البق,Albak
آلباق,Albak
الباق,Albak
الپاق,Albak/Alpak
آلپاق,Albak/Alpak
الپوه,Albak/Alpova
باش قلعه,Albak/Başkale
باشقلعه,Albak/Başkale
الجى,Alcı
الچاقلر,Alçaklar
الجقلر,Alçaklar
علفلى,Alefli
الكساندرو,Aleksandro
الكساندر,Aleksandro/Aleksandır
آلقسنچه مع اسفرلك,Aleksinçe maa İsferlik
علكسنا,Aleksinçe/Aleksina
علوى,Alevi
علوى,Alevi/Hakala
اليجق,Alıcık
الاجيق,Alıcık/Alacık
آلنجه,Alınca
النجه,Alınca
على الغربى,Ali el-Garbi
على غربى,Ali el-Garbi/Ali-i Garbi
على الشرقى,Ali eş-Şarki
على الشرق,Ali eş-Şarki
على شرقى,Ali eş-Şarki/Ali-i Şarki
علياباد,Aliabad (?)
على اغا چفتلكى,Aliağaçiftliği
على آغا چيفتلكى,Aliağaçiftliği
اليكان,Alikan
عاليقان,Alikan
جزيرۀ اليكان,Alikan/Cezire-i Alikan
عليكانلى,Alikanlı
عليقى,Aliki
آليقور,Alikor
اليمرتاريا,Alimertarya
علميا,Alimiya
اليميا,Alimiya
آليمينا,Alimiya/Alimina
آليمنيا,Alimiya/Alimniya
عللميا,Alimiya/Allimiya
اطيانه,Alimiya/Atyana
ليمانيه,Alimiya/Limaniye
ليمنى يونا,Alimiya/Limniyona
ليمنوس,Alimiya/Limnos
ليمونيا,Alimiya/Limoniya
ليمونيه,Alimiya/Limoniye
عليشار,Alişar
عاليشار,Alişar
آلقوش,Alkuş
علان,Allan
علان حما,Allan-ı Hama
علان,Allan-ı Hama/Allan
غلان حما,Allan-ı Hama/Gallan-ı Hama
علاى حما,Allan-ı Hama/Ula-yı Hama
الماش,Almaş
آلماش,Almaş
الموص,Almus
الموص,Almus
آلموص,Almus
آلموس,Almus
الپاغود,Alpagud
الپاوت,Alpavut
الپوللى,Alpullu
السو ااندريك,Also Endrik
التى كسه ك,Altıkesek
آلتون آقار,Altınakar/Altunakar
التون ايلى,Altınili
آلتون ايلى,Altınili
التون ايلى مع ياقوه,Altınili maa Yakova
التون ايلى,Altınili/Altunili
التون قلعه,Altınkale
التون قلعه مع اُوسْتَقَه,Altınkale maa Osha (Osteka)
التون قلعه,Altınkale/Altunkale
التون كوپرى,Altınköprü
آلتون كوپرى,Altınköprü
آلتون كوپرى و مَلْحه,Altınköprü ve Melha
التون,Altınköprü/Altun
آلتون كپرى,Altınköprü/Altunköprü
كوپرى,Altınköprü/Köprü
التون اوزى,Altınözü
آلتون اوزى,Altınözü
التون اوزى,Altınözü/Altunözü
التون طاش,Altıntaş
آلطونطاش,Altıntaş
آلتون طاش,Altıntaş
آلتون طاش,Altıntaş/Altuntaş
الت كندى,Altkendi
الوجره,Alucra
آلوجره,Alucra
الوجره,Alucra
الوجارا و قواتا و كواسه,Alucra (Alucara) ve Kovata ve Kevasa
الوجارا و ثووزى,Alucra (Alucara) ve Süvizi
نفس الوجره,Alucra merkez
الوجاره,Alucra/Alucara
الوجره,Alucra/Mesudiye
مسعوديه,Alucra/Mesudiye
اولوجاق,Alucra/Ulucak
اولوجره,Alucra/Ulucra
اولوجره,Alucra/Ulucra
الوجلى,Aluçlu
الوس,Alus
الوز,Alus/Aluz
علوط,Alut
آليان,Alyan
عاليات,Alyan/Aliyat
آليان,Alyan/Çillaga
اماد,Amad
عمامر,Amamer
عماره,Amare
آمارى,Amari
امارى,Amari
اماريه,Amari/Amarya
اماريا,Amari/Amarya
آمارْيه,Amari/Amarya
آماريه,Amari/Amarya
امارْيه,Amari/Amarya
آماريه,Amari/Amarya
جزيرۀ اماريه,Amari/Cezire-i Amarya
اماصرى,Amasra
آماصرى,Amasra
آماصره,Amasra
امصرى,Amasra
اماصره,Amasra
اولوس,Amasra/Ulus
آماسيه,Amasya
اماسيه,Amasya
اماسيّه,Amasya
اماسيه مع كلدكلان,Amasya maa Geldiklan
اماسيه مع نواحى,Amasya maa Nevahi
آماسيه مع نواحى,Amasya maa Nevahi
نفس آماسيه,Amasya merkez
نفس اماسيه,Amasya merkez
اماسيه و كلدكلان,Amasya ve Geldiklan
آماسيه ايدين,Amasya-i Aydın
آماسيۀ ايدين,Amasya-i Aydın
آماسيۀ آيدين,Amasya-i Aydın
