sample_no,doc_id,line_png,gt_file,token_index,osmanlica,gt_line
11,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-003.png,2d16a812-a123-4f29-9d3d-34d3c0be1498-003.gt.txt,4,بری,بو یاقینلرده امریقهلونك بری بر دیكمك التی ایجاد ایدوب اوروپهیه كتیرمش و بو التله چوقا و مشین و امثالی شیلر دیكیلهبیلهجكندن فایدهلی مخترعات جدیدهدن بولونمش
12,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-012.png,ea15505d-d2a8-493f-99ea-6ea0e2615a09-012.gt.txt,10,ماعاش,سالیهسندن ویریلمسی اویهمهیجغندن اول باول مخلول وقوعنده مناسب مقدار ماعاش ویریلمك اوزره كیفیتك
13,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-008.png,675e3a55-9125-4502-8f60-b8a5ab6af227-008.gt.txt,13,خلاف,موجود ایسه عینا دكل ایسه ثمنا صاحب اولنه رد ایتدیرلدكدنصكره اول شخصك خلاف قانون حركته جسارتنه بناء ارباب مناصب و ماموریتدن ایسه خدمتندن
14,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-010.png,675e3a55-9125-4502-8f60-b8a5ab6af227-010.gt.txt,12,ادارهسنده,ایكنجی ماده مصالح میریهده مستخدم صغار و كبار ماموریندن بریسی تخت ادارهسنده اولان ویاخود كندوسنه امانت و تسلیم اولنان مبالغ و اموال
15,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-021.png,675e3a55-9125-4502-8f60-b8a5ab6af227-021.gt.txt,19,ادم,دخی معتمد و موتمن اولمسی لازم كلهجكنه بناء بعد ازین او مقوله خدمتلرده هیچ بر طرفك خاطر ایچون ادم استحدامی جایز اولمیه
16,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-019.png,675e3a55-9125-4502-8f60-b8a5ab6af227-019.gt.txt,1,ایتدیرلمسیله,ایتدیرلمسیله  بو مثللولرك مصلحتدن عزل و طردی دخی جایز اوله
17,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-011.png,fa1bd90d-5fca-4e1f-a032-754c82a44fae-011.gt.txt,18,جبار,شو سماوات اهلنه برر مسجد سیار، برر خانه دوار، برر علوی اشیانه، برر مصباح نوار، برر كمی جبار، برر طیارهلرز بز۔
18,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-005.png,2d16a812-a123-4f29-9d3d-34d3c0be1498-005.gt.txt,10,سفارتخانه,محروسهده اجرا ایتمك اوزره درعلیهیه عزیمت ایلهمك نیتنده اولدیغنی سفارتخانه سنیهیه كلوب افاده ایله برابر سلطنت سنیه طرفندن دخی ذكر اولونان التی اعمال و فروخت
19,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-015.png,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-015.gt.txt,14,ایدهجكندن,دایر مودوع حافظهسی اولان نیات حسنه و افكار خالصانهمزی كوزلجه ایضاح و تفسیر ایدهجكندن تبلیغاتنه وثوق و اعتماد بیورلمسی و غب اتمام
20,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-012.png,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-012.gt.txt,18,عودتنده,موضوع بحث اولان مدعای اخلاص و اختصاصه بر دلیل جدید كوسترلمشدر و بو كره اولجانب حقایق جالبه عودتنده بك دخی
21,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-003.png,ea15505d-d2a8-493f-99ea-6ea0e2615a09-003.gt.txt,9,مخصص,متوفای مومیالیهن  مرجان جامع شریفی وقفی حاصلاتندن سالیه مخصص اولان یكرمی بش بیك غروشدن شعریه ایكی یوز
22,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-001.png,675e3a55-9125-4502-8f60-b8a5ab6af227-001.gt.txt,5,صورت,تعذیر اولنهجقلری مثللو كذالك صورت شرعیهسنه تطبیقا بو مقولهلرك ینه درجه جنحهسنه كوره اوچدن یتمش طقوز عدده قدر دكنك ضربیله دخی تعذیرلری
23,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-019.png,675e3a55-9125-4502-8f60-b8a5ab6af227-019.gt.txt,4,مصلحتدن,ایتدیرلمسیله  بو مثللولرك مصلحتدن عزل و طردی دخی جایز اوله
24,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-010.png,fa1bd90d-5fca-4e1f-a032-754c82a44fae-010.gt.txt,11,دست,طوبای خلقتدن سماوات شقنه هپ كهكشان اغصاننه، بر جمیل ذوالجلالك دست حكمتله طاقیلمش پك كوزل میوهلرز بز۔
25,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-004.png,ea15505d-d2a8-493f-99ea-6ea0e2615a09-004.gt.txt,12,كچنده,اللی غروشونك كندیه اعطاسی املنده بولوندیغی و بوكا دعیر مجلس محاسبهدن كچنده بر مضبطه تنظیم اولونمش ایسه ده هنوز
26,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-006.png,2d16a812-a123-4f29-9d3d-34d3c0be1498-006.gt.txt,13,اولنهمیهجغنی,ایلهمك اوزره كندیسنه بر سنه و داها زیاده مدت امتیاز اعطا اولنهبیلوب اولنهمیهجغنی اولجه اكلامق ایستهمش و مذكور امتیاز براتی پروسیهده كندینه اقچهسز ویریلمش ایسه ده
27,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-003.png,ea15505d-d2a8-493f-99ea-6ea0e2615a09-003.gt.txt,12,بش,متوفای مومیالیهن  مرجان جامع شریفی وقفی حاصلاتندن سالیه مخصص اولان یكرمی بش بیك غروشدن شعریه ایكی یوز
28,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-012.png,675e3a55-9125-4502-8f60-b8a5ab6af227-012.gt.txt,2,عسرت,صورت عسرت كوستریر ایسه ما ملكندن اولمقداری فروخت اولنهرق بعد التحصیل بر دخی خدمات میریهده استخدام اولنمامق اوزره طرد قلنه و اختلاس
29,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-003.png,54ec03e8-858e-4976-9e36-f4a1945e5130-003.gt.txt,8,اشكیاسیله,باغیلری اوچ یوز نفر مقدار عشیرت مزبور اشكیاسیله بر وجه مالكانه عهده چاكریده اولان طرسوس
30,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-021.png,675e3a55-9125-4502-8f60-b8a5ab6af227-021.gt.txt,16,طرفك,دخی معتمد و موتمن اولمسی لازم كلهجكنه بناء بعد ازین او مقوله خدمتلرده هیچ بر طرفك خاطر ایچون ادم استحدامی جایز اولمیه
31,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-011.png,423004fa-5205-47a8-9713-37953b6b22b8-011.gt.txt,13,ترتیبلری,و استحضاری داعیره عسكریهجه مرتبه وجوبه منتهی و بونلرك صورت وضع و ترتیبلری و بولوكلرك تشكیلاتی محلیندن جلب اولونان لوایح و رسایلده و جهت فنیهسی دخی كچنلرده تخت اراده سنیذیه الینان پروغراملرك حكمت عسكریه
32,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-016.png,675e3a55-9125-4502-8f60-b8a5ab6af227-016.gt.txt,8,تبین,و مقبوضات و مدفوعاتدن بر كونه ارتقاب تبین ایلدیكی حالده ارتقاب ایدن ادمدن استرداد اولنوب تادیبی سرقت جزاسنه توفیقا اجرا قلنه و اصیل
33,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-015.png,675e3a55-9125-4502-8f60-b8a5ab6af227-015.gt.txt,9,عموما,رویتنده و رجعه و سندات لازمهسیله مقابلهسنده و عموما دفاتر و محاسبات ایله مخزن و شونهلرك و مصالح سایرهنك حین تفتیشنده موجودات
34,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-015.png,fa1bd90d-5fca-4e1f-a032-754c82a44fae-015.gt.txt,9,عابدانه,سكهمز بر، طرهمز بر، ربمزه مسخرز، مسبحز، ذكرایدرز عابدانه، كهكشانك حلقه كبراسنه منسوب برر مجذوبلرز بز۔“
35,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-026.png,675e3a55-9125-4502-8f60-b8a5ab6af227-026.gt.txt,6,جنحهسی,مجلسنده دعواسی كوریلوب با لمحاكمه جنحهسی ثابت اولور ایسه حقنده بر موجب قانون معامله جذاییه اجرا اولنه
36,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-014.png,423004fa-5205-47a8-9713-37953b6b22b8-014.gt.txt,1,اولاجغی,اولاجغی افادهسندن عبارت بولونمش اولمقدن ناشی كیفیت دار شورای عسكریهیه لدالحواله اكرچی مذكور تلغرافلرك دركار اولان لزوم و محسناتنه نظرا بر ان اول بو اصوله اشنا مامور یتیشدیریلمسی درجه اهمیتده اولارق
37,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-010.png,675e3a55-9125-4502-8f60-b8a5ab6af227-010.gt.txt,10,بریسی,ایكنجی ماده مصالح میریهده مستخدم صغار و كبار ماموریندن بریسی تخت ادارهسنده اولان ویاخود كندوسنه امانت و تسلیم اولنان مبالغ و اموال
38,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-006.png,675e3a55-9125-4502-8f60-b8a5ab6af227-006.gt.txt,21,مثللو,جبرا المق ویا صاتدرمق ایچون بالذات ویاخود بالواسطه اجبار ایلمك مثللو شیلر وجها من الوجوه جایز اولمیه و اكر بو مثللو ماده ممنوعه و مكروههیه جسارت
39,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-005.png,2d16a812-a123-4f29-9d3d-34d3c0be1498-005.gt.txt,25,فروخت,محروسهده اجرا ایتمك اوزره درعلیهیه عزیمت ایلهمك نیتنده اولدیغنی سفارتخانه سنیهیه كلوب افاده ایله برابر سلطنت سنیه طرفندن دخی ذكر اولونان التی اعمال و فروخت
40,88dc077b-d603-4af0-b3c1-0a6203f74ab2,88dc077b-d603-4af0-b3c1-0a6203f74ab2-002.png,88dc077b-d603-4af0-b3c1-0a6203f74ab2-002.gt.txt,2,والالری,معلوم والالری بیورلدیغی و لفا ارسال قلنان ژورنالده محرر اولدیغی وجهله طاشجی اصنافندن بعضی عساكر شاهانه ایله منازعه ایدرك اویغونسزلغه
41,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-009.png,fa1bd90d-5fca-4e1f-a032-754c82a44fae-009.gt.txt,3,عرضه,بو سمانك عرضه باقان، جنته دقت ایدن بیڭلر مدقق كوزلرز بز۔ [حاشیه]
42,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-008.png,423004fa-5205-47a8-9713-37953b6b22b8-008.gt.txt,23,مذاكراتی,مذكورهدن برینه قرار ویریلهرك نتیجه قرارك بیلدیریلمسی حقنده مكاتب عسكریه نظارت بهیهسیله جریان ایدن مخابره اوزرینه یازیلان جوابده بو بابده جریان ایدن مذاكراتی متضمن مجلس مذكوردن تنظیم اولونان مذكرهنك ارسال قیلیندیغی
43,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-001.png,fa1bd90d-5fca-4e1f-a032-754c82a44fae-001.gt.txt,14,نظم,بردن خطور ایتدی۔ ییلدیزلرڭ لسان حال ایله قونوشمهلرینی خیالا ایشیتدم گبی بو یازیلدی۔ نظم و
44,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-017.png,423004fa-5205-47a8-9713-37953b6b22b8-017.gt.txt,13,سنیهلرندن,ضابطانك مذكور بولوكلره قبول ایتدیریلمهسی ممكن اولوب اولامهیهجغنك پاریس و ویانه سفارت سنیهلرندن استعلامی خصوصنك حضور معالیموفور جناب صدارتپناهیلرینه عرض و اشعاری حربیه داعیرهسندن
45,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-013.png,fa1bd90d-5fca-4e1f-a032-754c82a44fae-013.gt.txt,1,داهیه,داهیه خلقت، برر نور عالمییز بز۔ بویله یوز بیك دیل ایله یوز بیك برهان كوستریرز، ایشیتدیریرز انسان
46,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-002.png,fa1bd90d-5fca-4e1f-a032-754c82a44fae-002.gt.txt,12,مكتوب,شعر بیلمدیگم ایچون شعر قاعدهسنه كیرمدی۔ تخطر اولدیغی كبی یازیلمش۔ دردنجی مكتوب ایله اوتوز ایكنجی
47,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-004.png,675e3a55-9125-4502-8f60-b8a5ab6af227-004.gt.txt,8,عالیسی,برنجی ماده طرف دولتعلیهدن و وراثت فرمان عالیسی موجبنجه مصر والیلرینه محول اولان حكومت محلیه و بالتوارث والی بولنان ذات ایله مامورین
48,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-021.png,675e3a55-9125-4502-8f60-b8a5ab6af227-021.gt.txt,14,هیچ,دخی معتمد و موتمن اولمسی لازم كلهجكنه بناء بعد ازین او مقوله خدمتلرده هیچ بر طرفك خاطر ایچون ادم استحدامی جایز اولمیه
49,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-006.png,2d16a812-a123-4f29-9d3d-34d3c0be1498-006.gt.txt,9,مدت,ایلهمك اوزره كندیسنه بر سنه و داها زیاده مدت امتیاز اعطا اولنهبیلوب اولنهمیهجغنی اولجه اكلامق ایستهمش و مذكور امتیاز براتی پروسیهده كندینه اقچهسز ویریلمش ایسه ده
50,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-012.png,423004fa-5205-47a8-9713-37953b6b22b8-012.gt.txt,6,تدریس,قسمنده داخل اولمسیله بعدما طلبهیه تدریس اولوناجغی بدیهی اولوب مع مافه بو مثللو تطبیقات فنیهده حصول ممارسه و اقتدار استخدامه موقوف اولدیغندن پاریسده مكتب صنایع شاكردانندن اولوب ماكینه تحصیلنه
51,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-022.png,423004fa-5205-47a8-9713-37953b6b22b8-022.gt.txt,7,بونلرده,معا صوب صاملرینه ارسال قیلینمش اولمغله بونلرده مندرج اولان افاداته نظرا اقتضاسنك اجراسی سیاقنده ترقیم ذیله ابتدار قیلیندی افندیم
52,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-012.png,fa1bd90d-5fca-4e1f-a032-754c82a44fae-012.gt.txt,13,خلیقهنه,بر قادر ذوالكمالك، بر حاكم ذوالجلالك برر معجزه قدرت، برر خارقه صنعت خلیقهنه، برر نادره حكمت، برر
53,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-005.png,ea15505d-d2a8-493f-99ea-6ea0e2615a09-005.gt.txt,6,قیلینمش,بر ثمرهسی مشاهده اولونامدغی بیان قیلینمش و مومیالیه وجوهله شایان عاطفت بویخمش ایدوكی
54,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-010.png,423004fa-5205-47a8-9713-37953b6b22b8-010.gt.txt,14,درجه,قرهقوللر و مفرزهلر و كشف قوللرینه منحصر و نوع ثالثنك دارالحركات داخلنده بولونان درجه ثانیه نقطهسیله بالجمله نقط ساعیرهنك ادارهسنی قفیل بولوندیغی جهتلرله شو تلردن اوچ نوعینك دخی تشكیل
55,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-008.png,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-008.gt.txt,18,الحضرتین,جامعه اسلامیه و فحوای (المومنونه اخوه) اقتضاسنجه بین الدولتین العلیتین یك جهتی و اتحادك استقراری و بین الحضرتین الفخمتین دركار
56,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-013.png,675e3a55-9125-4502-8f60-b8a5ab6af227-013.gt.txt,8,موجودی,ایتدیكی مبالغی تماما ایفا و سد ایدهجك موجودی اولمادیغی تقدیرده نفی و طرد ایله معامله اولنه
57,88dc077b-d603-4af0-b3c1-0a6203f74ab2,88dc077b-d603-4af0-b3c1-0a6203f74ab2-002.png,88dc077b-d603-4af0-b3c1-0a6203f74ab2-002.gt.txt,11,وجهله,معلوم والالری بیورلدیغی و لفا ارسال قلنان ژورنالده محرر اولدیغی وجهله طاشجی اصنافندن بعضی عساكر شاهانه ایله منازعه ایدرك اویغونسزلغه
58,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-003.png,ea15505d-d2a8-493f-99ea-6ea0e2615a09-003.gt.txt,2,مومیالیهن,متوفای مومیالیهن  مرجان جامع شریفی وقفی حاصلاتندن سالیه مخصص اولان یكرمی بش بیك غروشدن شعریه ایكی یوز
59,88dc077b-d603-4af0-b3c1-0a6203f74ab2,88dc077b-d603-4af0-b3c1-0a6203f74ab2-003.png,88dc077b-d603-4af0-b3c1-0a6203f74ab2-003.gt.txt,6,نفرینك,اجتسار ایتمش اولان اشخاصدن سكز نفرینك تهمتلری تبین بونلرك تادیب و تربیهلریله برایت ذمتلری ظاهر اولان اوچ نفرینك تخلیه سبیلی
60,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-001.png,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-001.gt.txt,15,مصدر,عالی حضرت كردون رفعت كیوان منزلت خورشید طلعت جمشید منقبت فریدون فر همایون اثر مصدر اثار جلادت مظهر انوار جلالت
61,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-002.png,54ec03e8-858e-4976-9e36-f4a1945e5130-002.gt.txt,13,كورك,شقاوت-پیشه كندو حالنده اولمیوب عشیرت مزبور اشكیاسیندن سوز صاحبی حاج عمر و كورك اوغلی نام
62,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-018.png,423004fa-5205-47a8-9713-37953b6b22b8-018.gt.txt,13,اولمغله,افاده قیلینمش و ایفای مقتضاسی مرهون رای و اراده عالیه صدارتپناهیلری بولونمش اولمغله اول بابده امر و فرمان حضرت ولیالامركدر۔
63,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-012.png,423004fa-5205-47a8-9713-37953b6b22b8-012.gt.txt,1,قسمنده,قسمنده داخل اولمسیله بعدما طلبهیه تدریس اولوناجغی بدیهی اولوب مع مافه بو مثللو تطبیقات فنیهده حصول ممارسه و اقتدار استخدامه موقوف اولدیغندن پاریسده مكتب صنایع شاكردانندن اولوب ماكینه تحصیلنه
64,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-004.png,2d16a812-a123-4f29-9d3d-34d3c0be1498-004.gt.txt,13,پروسیه,اولدیغی حسبیله تجربه اولوندكدن صوكره الت مذكورهیی یاپوب صاتمق اوزره اوستوریه و پروسیه و ایسوچ دولتلرنده مرقوم امریقهلیه امتیاز براتی ویریلمش و صنعتنی ممالك
65,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-006.png,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-006.gt.txt,16,شرایف,محبة منی) مطلعندن رونما و اهله ادله موالات و مواخاته براعة الاستهلال حقیقت انتما اولان شرایف تكریمات اخلاصكاری
66,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-019.png,fa1bd90d-5fca-4e1f-a032-754c82a44fae-019.gt.txt,14,باقییورلر,اولان ییلدیزلر دخی، كویا ملایكهلر گبی زمین یوزندهكی نازنین مصنوعاتی كوردكجه جنت عالمینه باقییورلر۔ او موقت خارقهلری
67,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-004.png,2d16a812-a123-4f29-9d3d-34d3c0be1498-004.gt.txt,5,صوكره,اولدیغی حسبیله تجربه اولوندكدن صوكره الت مذكورهیی یاپوب صاتمق اوزره اوستوریه و پروسیه و ایسوچ دولتلرنده مرقوم امریقهلیه امتیاز براتی ویریلمش و صنعتنی ممالك
68,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-015.png,423004fa-5205-47a8-9713-37953b6b22b8-015.gt.txt,3,مندراجتی,مضبطه مذكوره مندراجتی پك یولونده و بجا كورونمش ایسه ده اول امرده اول صورتله كرك پاریسده بولونان طلبهدن تعین قیلیندیغی و كرك بوراجه مكتبدن مخرج مقتدر ضابطاندن برقاچ نفری مخصوصان كوندریلدیكی
69,ea15505d-d2a8-493f-99ea-6ea0e2615a09,ea15505d-d2a8-493f-99ea-6ea0e2615a09-008.png,ea15505d-d2a8-493f-99ea-6ea0e2615a09-008.gt.txt,2,باتذكره,طرفندن باتذكره افاده اولونمسیله كیفیت مجلس والاده
70,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-021.png,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-021.gt.txt,4,كلنلره,مضمون شریفی لازم كلنلره
71,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-010.png,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-010.gt.txt,12,نصاب,اساس اتحاد ایچون وسیله تحریسندن خالی اولمدیغم حالده عمزاده قاانیلری سعادت نصاب فخامت انتساب ایفای فریضه حج ایچون بو طرفلره كلوب
72,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-017.png,675e3a55-9125-4502-8f60-b8a5ab6af227-017.gt.txt,6,قضیهیه,مامور اولان ذات دخی بو قضیهیه واقف اولدقدنصكره اغماض ایتمش اولدیغی تحقق ایدر ایسه عزل و طرد ایله تادیب اولنه و بر مامور كندوسنه امانت و تسلیم
